time,x,y,yaw
1.000000000000000021e-03,5.999999984343410420e-01,7.335221364035415803e-06,-1.165494260654411322e-04
2.000000000000000042e-03,5.999999767189487798e-01,2.919019143482470824e-05,-4.626639583197393038e-04
3.000000000000000062e-03,5.999998928826006939e-01,6.516834120656733731e-05,-1.033246209175709557e-03
4.000000000000000083e-03,5.999996756055414604e-01,1.148876969077616828e-04,-1.823459484142786989e-03
5.000000000000000104e-03,5.999992290303589604e-01,1.779543446377984672e-04,-2.828714215606942424e-03
6.000000000000000125e-03,5.999984350163914959e-01,2.539639435971130510e-04,-4.044653898946731774e-03
7.000000000000000146e-03,5.999971553213014896e-01,3.425031619723739595e-04,-5.467140732565029144e-03
8.000000000000000167e-03,5.999952337029851313e-01,4.431510359245716124e-04,-7.092241144114043612e-03
9.000000000000001055e-03,5.999924979359486654e-01,5.554802539837755404e-04,-8.916211371858835666e-03
1.000000000000000194e-02,5.999887618726528205e-01,6.790296687823049737e-04,-1.093527858157933470e-02
1.100000000000000283e-02,5.999838280010787450e-01,8.132602591628401711e-04,-1.314478465338648865e-02
1.200000000000000372e-02,5.999774894956045879e-01,9.575586131413960089e-04,-1.553973188107726777e-02
1.300000000000000461e-02,5.999695320649007790e-01,1.111313373930444826e-03,-1.811519236619737669e-02
1.400000000000000550e-02,5.999597356096488809e-01,1.273908808174240015e-03,-2.086630192455431188e-02
1.500000000000000638e-02,5.999478757730967171e-01,1.444726730034096018e-03,-2.378825448255829714e-02
1.600000000000000727e-02,5.999337256990722178e-01,1.623147841584571260e-03,-2.687629868697458124e-02
1.700000000000000816e-02,5.999170573949134111e-01,1.808553403134682824e-03,-3.012573465557768365e-02
1.800000000000000905e-02,5.998976430371748547e-01,2.000326718514799929e-03,-3.353191049708627303e-02
1.900000000000000994e-02,5.998752560295929070e-01,2.197854747421956745e-03,-3.709022015221610097e-02
2.000000000000001082e-02,5.998496720679031835e-01,2.400529456416888863e-03,-4.079610194253254635e-02
2.100000000000001171e-02,5.998206700770051247e-01,2.607749124669433982e-03,-4.464503779124127936e-02
2.200000000000001260e-02,5.997880330385252368e-01,2.818919572430689247e-03,-4.863255307004192562e-02
2.300000000000001349e-02,5.997515487149988056e-01,3.033455313182886748e-03,-5.275421701898261317e-02
2.400000000000001438e-02,5.997110102723145486e-01,3.250780630312477548e-03,-5.700564368732063264e-02
2.500000000000001527e-02,5.996662195495776615e-01,3.470308388075993289e-03,-6.138224454712486872e-02
2.600000000000001615e-02,5.996169963172548467e-01,3.691396507259747661e-03,-6.587800264843893250e-02
2.700000000000001704e-02,5.995631793065931969e-01,3.913360534413878877e-03,-7.048621515873321197e-02
2.800000000000001793e-02,5.995046218879802602e-01,4.135533540255198481e-03,-7.520022340131078675e-02
2.900000000000001882e-02,5.994411918056129496e-01,4.357269807105101922e-03,-8.001342139286540811e-02
3.000000000000001971e-02,5.993727716345398360e-01,4.577943237875414795e-03,-8.491926458988244275e-02
3.100000000000002059e-02,5.992992588821629552e-01,4.796948202923811966e-03,-8.991127875745026643e-02
3.200000000000002148e-02,5.992205790018032552e-01,5.013699973951568634e-03,-9.498253628412839378e-02
3.300000000000002237e-02,5.991366917586272711e-01,5.227627353705299740e-03,-1.001253481660847044e-01
3.400000000000002326e-02,5.990476036543900262e-01,5.438163791325889562e-03,-1.053308249675307395e-01
3.500000000000002415e-02,5.989533637785885434e-01,5.644749832219131402e-03,-1.105897178344460996e-01
3.600000000000002504e-02,5.988540502595826043e-01,5.846863722274164843e-03,-1.158928832434184125e-01
3.700000000000002592e-02,5.987497707571503014e-01,6.044016948395569688e-03,-1.212312999185124196e-01
3.800000000000002681e-02,5.986406613254324771e-01,6.235753984010716788e-03,-1.265960853554236598e-01
3.900000000000002770e-02,5.985268850638688631e-01,6.421651881734102840e-03,-1.319785118104011001e-01
4.000000000000002859e-02,5.984086305962377228e-01,6.601319702204289097e-03,-1.373700216338851199e-01
4.100000000000002948e-02,5.982861104026211407e-01,6.774397799251707930e-03,-1.427622418482799582e-01
4.200000000000003036e-02,5.981595590275066154e-01,6.940556991730073566e-03,-1.481469978433085644e-01
4.300000000000003125e-02,5.980292311870005761e-01,7.099497626208650658e-03,-1.535163261530110013e-01
4.400000000000003214e-02,5.978953997966885980e-01,7.250948548749414080e-03,-1.588624863675862087e-01
4.500000000000003303e-02,5.977583539404438540e-01,7.394665993175342233e-03,-1.641779720958140287e-01
4.600000000000003392e-02,5.976183967983746959e-01,7.530432415213339503e-03,-1.694555209483840363e-01
4.700000000000003481e-02,5.974758435511938748e-01,7.658055285620690711e-03,-1.746881235384550590e-01
4.800000000000003569e-02,5.973310192768777060e-01,7.777365855876849920e-03,-1.798690315058198985e-01
4.900000000000003658e-02,5.971842568541168017e-01,7.888217908952499524e-03,-1.849917645796127774e-01
5.000000000000003747e-02,5.970358948857115156e-01,7.990486506455118931e-03,-1.900501167016747650e-01
5.100000000000003836e-02,5.968862756537430814e-01,8.084066742240658687e-03,-1.950381612385817531e-01
5.200000000000003925e-02,5.967357431170571269e-01,8.168872511391533919e-03,-1.999502553150259432e-01
5.300000000000004013e-02,5.965846409603334788e-01,8.244835302299080571e-03,-2.047810433047738965e-01
5.400000000000004102e-02,5.964333107027841585e-01,8.311903018464572579e-03,-2.095254595177864776e-01
5.500000000000004191e-02,5.962820898733232067e-01,8.370038835536830479e-03,-2.141787301231103391e-01
5.600000000000004280e-02,5.961313102578983392e-01,8.419220098009827513e-03,-2.187363743463383581e-01
5.700000000000004369e-02,5.959812962236745726e-01,8.459437258856505881e-03,-2.231942049764735758e-01
5.800000000000004458e-02,5.958323631243734875e-01,8.490692864009330432e-03,-2.275483282065849655e-01
5.900000000000004546e-02,5.956848157935540344e-01,8.513000581764407215e-03,-2.317951428075677167e-01
6.000000000000004635e-02,5.955389492049040223e-01,8.526387036701055244e-03,-2.359313082501121872e-01
6.100000000000004724e-02,5.953950471470349504e-01,8.530893580443343893e-03,-2.399537140245088240e-01
6.200000000000004813e-02,5.952533821105410183e-01,8.526575213431586420e-03,-2.438595246819553752e-01
6.300000000000004208e-02,5.951142097423683941e-01,8.513498262891994184e-03,-2.476461819734582515e-01
6.400000000000004297e-02,5.949777700212307563e-01,8.491738980635932244e-03,-2.513113909653875155e-01
6.500000000000004385e-02,5.948442854794697698e-01,8.461382053476074194e-03,-2.548531178270992958e-01
6.600000000000004474e-02,5.947139609036442565e-01,8.422519702778796802e-03,-2.582695899718071564e-01
6.700000000000004563e-02,5.945869807920598493e-01,8.375250485678498169e-03,-2.615592893546644926e-01
6.800000000000004652e-02,5.944635092535475174e-01,8.319678199027236154e-03,-2.647209466824832491e-01
6.900000000000004741e-02,5.943436890747406665e-01,8.255910976714797567e-03,-2.677535340505948769e-01
7.000000000000004829e-02,5.942276421514105511e-01,8.184060772136791950e-03,-2.706562494825657250e-01
7.100000000000004918e-02,5.941154735298833645e-01,8.104243604796501632e-03,-2.734284943616582253e-01
7.200000000000005007e-02,5.940072743604200012e-01,8.016580533876604964e-03,-2.760698406137547245e-01
7.300000000000005096e-02,5.939031204149747278e-01,7.921197567266780037e-03,-2.785800251754818602e-01
7.400000000000005185e-02,5.938030756373184893e-01,7.818222414358477756e-03,-2.809589311722151539e-01
7.500000000000005274e-02,5.937071930456383484e-01,7.707781812767655616e-03,-2.832065815921284146e-01
7.600000000000005362e-02,5.936155148612886068e-01,7.590005503689156718e-03,-2.853231298186996723e-01
7.700000000000005451e-02,5.935280713451571710e-01,7.465028704830900530e-03,-2.873088516099193135e-01
7.800000000000005540e-02,5.934448793800531918e-01,7.332988983135169114e-03,-2.891641448636454448e-01
7.900000000000005629e-02,5.933659444328216459e-01,7.194025259402936356e-03,-2.908895281132414801e-01
8.000000000000005718e-02,5.932912616878003309e-01,7.048277840195793509e-03,-2.924856371818443934e-01
8.100000000000005806e-02,5.932208166648772485e-01,6.895889982237890514e-03,-2.939532239905222610e-01
8.200000000000005895e-02,5.931545843989050049e-01,6.737006774413023535e-03,-2.952931548735709399e-01
8.300000000000005984e-02,5.930925298640222776e-01,6.571774895823612184e-03,-2.965064073404112266e-01
8.400000000000006073e-02,5.930346093228473503e-01,6.400342119509738747e-03,-2.975940715801958514e-01
8.500000000000006162e-02,5.929807701069136350e-01,6.222859200693930948e-03,-2.985573501393937734e-01
8.600000000000006251e-02,5.929309504065791714e-01,6.039480441259681420e-03,-2.993975560483598808e-01
8.700000000000006339e-02,5.928850799541464101e-01,5.850362605137771066e-03,-3.001161125450464984e-01
8.800000000000006428e-02,5.928430812357584623e-01,5.655664322324505111e-03,-3.007145524005523374e-01
8.900000000000006517e-02,5.928048696354475400e-01,5.455546832782098843e-03,-3.011945175204547853e-01
9.000000000000006606e-02,5.927703531367407574e-01,5.250173561679116752e-03,-3.015577573483558815e-01
9.100000000000006695e-02,5.927394321102540387e-01,5.039714080309620758e-03,-3.018061157640024028e-01
