time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542880163414792e-03
8.000000000000000167e-03,5.999925738692372112e-01,4.289906890173611487e-04,-7.637263150509754003e-03
9.000000000000001055e-03,5.999883262893291880e-01,5.367868371298212260e-04,-9.606210504575865908e-03
1.000000000000000194e-02,5.999825365384481302e-01,6.549174807894408978e-04,-1.178802532193782421e-02
1.100000000000000283e-02,5.999749047247932010e-01,7.828309160449187232e-04,-1.417951925591425487e-02
1.200000000000000372e-02,5.999651175410111170e-01,9.199674140659142019e-04,-1.677765110509395891e-02
1.300000000000000461e-02,5.999528510867824238e-01,1.065761778633655954e-03,-1.957950426321345902e-02
1.400000000000000550e-02,5.999377735886718410e-01,1.219645717511763650e-03,-2.258226584698421954e-02
1.500000000000000638e-02,5.999195479197292347e-01,1.381050070004663510e-03,-2.578320762157071747e-02
1.600000000000000727e-02,5.998978339305438556e-01,1.549406886455384491e-03,-2.917966878916308446e-02
1.700000000000000816e-02,5.998722905920461645e-01,1.724151362100134754e-03,-3.276904065850889947e-02
1.800000000000000905e-02,5.998425779522007506e-01,1.904723628304738625e-03,-3.654875317278656610e-02
1.900000000000000994e-02,5.998083589103745394e-01,2.090570404677583038e-03,-4.051626323987427003e-02
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02
2.100000000000001171e-02,5.997250768879957006e-01,2.475916277464740300e-03,-4.900458040711856006e-02
2.200000000000001260e-02,5.996753674921332378e-01,2.674354754401031542e-03,-5.352035457177165695e-02
2.300000000000001349e-02,5.996198612348324630e-01,2.875948897798574766e-03,-5.821384813336798886e-02
2.400000000000001438e-02,5.995582559318022309e-01,3.080198563276403956e-03,-6.308253413906722562e-02
2.500000000000001527e-02,5.994902594308616495e-01,3.286617416194126395e-03,-6.812387473479401823e-02
2.600000000000001615e-02,5.994155903082503123e-01,3.494733728127918937e-03,-7.333531906166812497e-02
2.700000000000001704e-02,5.993339784464679632e-01,3.704091069224424437e-03,-7.871430201706836050e-02
2.800000000000001793e-02,5.992451655030559543e-01,3.914248901024985905e-03,-8.425824376328046317e-02
2.900000000000001882e-02,5.991489052795726522e-01,4.124783074329785304e-03,-8.996454987430911598e-02
3.000000000000001971e-02,5.990449639997594833e-01,4.335286236642255098e-03,-9.583061201985509925e-02
3.100000000000002059e-02,5.989331205055612450e-01,4.545368153694773206e-03,-1.018538090942990304e-01
3.200000000000002148e-02,5.988131663792670700e-01,4.754655949511910062e-03,-1.080315087074902730e-01
3.300000000000002237e-02,5.986849059995943412e-01,4.962794269415704562e-03,-1.143610689629758342e-01
3.400000000000002326e-02,5.985481565390627923e-01,5.169445370320713273e-03,-1.208398404578366198e-01
3.500000000000002415e-02,5.984027479095045399e-01,5.374289142603516645e-03,-1.274651684463946055e-01
3.600000000000002504e-02,5.982485226620506413e-01,5.577023067762143516e-03,-1.342343951176229178e-01
3.700000000000002592e-02,5.980853358474160775e-01,5.777362116108519796e-03,-1.411448619427395079e-01
3.800000000000002681e-02,5.979130548416775603e-01,5.975038591842563029e-03,-1.481939120428408252e-01
3.900000000000002770e-02,5.977315591424025021e-01,6.169801925926088337e-03,-1.553788925480508454e-01
4.000000000000002859e-02,5.975407401396004570e-01,6.361418420331055312e-03,-1.626971569529880868e-01
4.100000000000002948e-02,5.973405008654744108e-01,6.549670944466068345e-03,-1.701460674330972922e-01
4.200000000000003036e-02,5.971307557263993981e-01,6.734358591214351097e-03,-1.777229970993013386e-01
4.300000000000003125e-02,5.969114302202199740e-01,6.915296295816608652e-03,-1.854253321770266139e-01
4.400000000000003214e-02,5.966824606415983556e-01,7.092314420998890867e-03,-1.932504740986538960e-01
4.500000000000003303e-02,5.964437937778002130e-01,7.265258311692113224e-03,-2.011958415010099976e-01
4.600000000000003392e-02,5.961953865970048838e-01,7.433987822569709802e-03,-2.092588721216855907e-01
4.700000000000003481e-02,5.959372059309481218e-01,7.598376821502661471e-03,-2.174370245897845333e-01
4.800000000000003569e-02,5.956692281534644584e-01,7.758312671907685587e-03,-2.257277801082191726e-01
4.900000000000003658e-02,5.953914388562797644e-01,7.913695696831479776e-03,-2.341286440259045531e-01
5.000000000000003747e-02,5.951038339485630324e-01,8.064411205186194920e-03,-2.426369576963110786e-01
5.100000000000003836e-02,5.948064305969429366e-01,8.210149593752436026e-03,-2.512478679416803584e-01
5.200000000000003925e-02,5.944992647404719888e-01,8.350500701221119648e-03,-2.599549402752826532e-01
5.300000000000004013e-02,5.941824220858211714e-01,8.484944663555704647e-03,-2.687507787049364660e-01
5.400000000000004102e-02,5.938560366730124551e-01,8.612948344655257937e-03,-2.776262867073307494e-01
5.500000000000004191e-02,5.935202875205884965e-01,8.733952311371917521e-03,-2.865722784959763292e-01
5.600000000000004280e-02,5.931753693401016214e-01,8.847445337895831763e-03,-2.955797536893208788e-01
5.700000000000004369e-02,5.928215219908337108e-01,8.952934277103807847e-03,-3.046395421440189488e-01
5.800000000000004458e-02,5.924590558991715827e-01,9.049938747684727058e-03,-3.137412885070384738e-01
5.900000000000004546e-02,5.920883490491218870e-01,9.137991353217078672e-03,-3.228744924270368633e-01
6.000000000000004635e-02,5.917098156540848697e-01,9.216669667947208211e-03,-3.320287729141847000e-01
6.100000000000004724e-02,5.913239394143987582e-01,9.285596304997534300e-03,-3.411932603255373175e-01
6.200000000000004813e-02,5.909312681399483402e-01,9.344437612298972518e-03,-3.503570861041409024e-01
6.300000000000004208e-02,5.905323740101184882e-01,9.392902407573067158e-03,-3.595097157439747226e-01
6.400000000000004297e-02,5.901278502921678548e-01,9.430738594594978430e-03,-3.686409635584664835e-01
6.500000000000004385e-02,5.897183081403811755e-01,9.457730430402044863e-03,-3.777410054609182666e-01
6.600000000000004474e-02,5.893043725453338544e-01,9.473695866142828326e-03,-3.868003897635186039e-01
6.700000000000004563e-02,5.888866783992086074e-01,9.478483944082627399e-03,-3.958100460522130382e-01
6.800000000000004652e-02,5.884658667406433841e-01,9.471972276320517192e-03,-4.047612922893011334e-01
6.900000000000004741e-02,5.880425812514928907e-01,9.454064636362058405e-03,-4.136458404567697200e-01
7.000000000000004829e-02,5.876174650911020203e-01,9.424688706927530912e-03,-4.224558013160340519e-01
7.100000000000004918e-02,5.871911581679356562e-01,9.383794045872473344e-03,-4.311836892358084650e-01
7.200000000000005007e-02,5.867643100132029499e-01,9.331355459793688745e-03,-4.398223458973969380e-01
7.300000000000005096e-02,5.863375901442842153e-01,9.267381465291824050e-03,-4.483646975835006709e-01
7.400000000000005185e-02,5.859116796199493882e-01,9.191910379438006373e-03,-4.568039871333009483e-01
