time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542880163414792e-03
8.000000000000000167e-03,5.999925738692372112e-01,4.289906890173611487e-04,-7.637263150509754003e-03
9.000000000000001055e-03,5.999883262893291880e-01,5.367868371298212260e-04,-9.606210504575865908e-03
1.000000000000000194e-02,5.999825365384481302e-01,6.549174807894408978e-04,-1.178802532193782421e-02
1.100000000000000283e-02,5.999749047247932010e-01,7.828309160449187232e-04,-1.417951925591425487e-02
1.200000000000000372e-02,5.999651175410111170e-01,9.199674140659142019e-04,-1.677765110509395891e-02
1.300000000000000461e-02,5.999528513724153855e-01,1.065761624206074121e-03,-1.957946386099705671e-02
1.400000000000000550e-02,5.999377774051672940e-01,1.219645040794803403e-03,-2.258175160625860295e-02
1.500000000000000638e-02,5.999195651310276212e-01,1.381049361054098590e-03,-2.578114434270136618e-02
1.600000000000000727e-02,5.998978850100498139e-01,1.549409781583799273e-03,-2.917431054324699097e-02
1.700000000000000816e-02,5.998724107972573938e-01,1.724167525570419190e-03,-3.275794352659944231e-02
1.800000000000000905e-02,5.998428218873479434e-01,1.904771831182427988e-03,-3.652875005847013024e-02
1.900000000000000994e-02,5.998088053870759273e-01,2.090681860226317745e-03,-4.048344109497799270e-02
2.000000000000001082e-02,5.997700579454909864e-01,2.281368421702623106e-03,-4.461872454680743116e-02
2.100000000000001171e-02,5.997262873490126767e-01,2.476315514151672392e-03,-4.893129991729406464e-02
2.200000000000001260e-02,5.996772138901728111e-01,2.675021691526446865e-03,-5.341785465035724101e-02
2.300000000000001349e-02,5.996225715203635787e-01,2.877001258055122968e-03,-5.807506201410615049e-02
2.400000000000001438e-02,5.995621087981253261e-01,3.081785298175820920e-03,-6.289958034194793879e-02
2.500000000000001527e-02,5.994955896453920685e-01,3.288922548148554004e-03,-6.788805345405471425e-02
2.600000000000001615e-02,5.994227939247306347e-01,3.497980116383192506e-03,-7.303711208708248137e-02
2.700000000000001704e-02,5.993435178509677330e-01,3.708544059877916244e-03,-7.834337616813769056e-02
2.800000000000001793e-02,5.992575742507428860e-01,3.920219824439408196e-03,-8.380345777931630380e-02
2.900000000000001882e-02,5.991647926834736682e-01,4.132632556567872317e-03,-8.941396467096478229e-02
3.000000000000001971e-02,5.990650194370017445e-01,4.345427295032178172e-03,-9.517150419451629595e-02
3.100000000000002059e-02,5.989581174108408179e-01,4.558269050244923015e-03,-1.010726875388296142e-01
3.200000000000002148e-02,5.988439658994830772e-01,4.770842779573236658e-03,-1.071141341669989699e-01
3.300000000000002237e-02,5.987224602876763946e-01,4.982853266692954808e-03,-1.132924763632968124e-01
3.400000000000002326e-02,5.985935116689714564e-01,5.194024913020012235e-03,-1.196043638120256603e-01
3.500000000000002415e-02,5.984570463981839783e-01,5.404101449127840517e-03,-1.260464681414291410e-01
3.600000000000002504e-02,5.983130055877332598e-01,5.612845573899016838e-03,-1.326154873763385200e-01
3.700000000000002592e-02,5.981613445571211107e-01,5.820038528958848545e-03,-1.393081502528541460e-01
3.800000000000002681e-02,5.980020322441177427e-01,6.025479615703877023e-03,-1.461212203570590729e-01
3.900000000000002770e-02,5.978350505855298813e-01,6.228985661977659571e-03,-1.530515000575432272e-01
4.000000000000002859e-02,5.976603938747542255e-01,6.430390445157585511e-03,-1.600958342084115027e-01
4.100000000000002948e-02,5.974780681026673479e-01,6.629544078110116700e-03,-1.672511136055009617e-01
4.200000000000003036e-02,5.972880902877781839e-01,6.826312364145603606e-03,-1.745142781837974166e-01
4.300000000000003125e-02,5.970904878009765104e-01,7.020576126767041902e-03,-1.818823199485805620e-01
4.400000000000003214e-02,5.968852976896459328e-01,7.212230519658802130e-03,-1.893522856367024498e-01
4.500000000000003303e-02,5.966725660053858737e-01,7.401184322009146666e-03,-1.969212791076815905e-01
4.600000000000003392e-02,5.964523471390865694e-01,7.587359223902301331e-03,-2.045864634670366278e-01
4.700000000000003481e-02,5.962247031666447761e-01,7.770689106160633131e-03,-2.123450629265485889e-01
4.800000000000003569e-02,5.959897032081760138e-01,7.951119318661992175e-03,-2.201943644079866758e-01
4.900000000000003658e-02,5.957474242603078007e-01,8.128602116475647232e-03,-2.281316749145241296e-01
5.000000000000003747e-02,5.954979938052479271e-01,8.302991692861527717e-03,-2.361526809649042435e-01
5.100000000000003836e-02,5.952415755044826451e-01,8.474102324278032228e-03,-2.442516122649332211e-01
5.200000000000003925e-02,5.949783620946311746e-01,8.641728202794685121e-03,-2.524228150428119433e-01
5.300000000000004013e-02,5.947085562012450755e-01,8.805694819897513792e-03,-2.606607601522199502e-01
5.400000000000004102e-02,5.944323821284298592e-01,8.965702527976182612e-03,-2.689589172984455101e-01
5.500000000000004191e-02,5.941500894420342904e-01,9.121311013908783849e-03,-2.773081972744554369e-01
5.600000000000004280e-02,5.938619505433669898e-01,9.271955643209428555e-03,-2.856991937618640343e-01
5.700000000000004369e-02,5.935682500345592638e-01,9.417133896079343813e-03,-2.941227320996016026e-01
5.800000000000004458e-02,5.932692842607674155e-01,9.556370557512072761e-03,-3.025698814972166417e-01
5.900000000000004546e-02,5.929653594866476363e-01,9.689216929597843642e-03,-3.110319661918337086e-01
6.000000000000004635e-02,5.926567900802275357e-01,9.815250025875743578e-03,-3.195005755524567559e-01
6.100000000000004724e-02,5.923438967145013834e-01,9.934071769101604499e-03,-3.279675730894639485e-01
6.200000000000004813e-02,5.920270279249963963e-01,1.004529615028049161e-02,-3.364248024766889333e-01
6.300000000000004208e-02,5.917065971756132470e-01,1.014853664580406267e-02,-3.448628821184318016e-01
6.400000000000004297e-02,5.913830780236377649e-01,1.024340860109618223e-02,-3.532721409379167010e-01
6.500000000000004385e-02,5.910569574740570653e-01,1.032956331790507720e-02,-3.616431970653136152e-01
6.600000000000004474e-02,5.907287531947195136e-01,1.040669491402712588e-02,-3.699667001893706675e-01
6.700000000000004563e-02,5.903990075236758006e-01,1.047453750173793496e-02,-3.782334977999538550e-01
6.800000000000004652e-02,5.900682688985211533e-01,1.053285859253511036e-02,-3.864348002736920917e-01
6.900000000000004741e-02,5.897370856499744018e-01,1.058145552424027969e-02,-3.945621877073796635e-01
7.000000000000004829e-02,5.894060040636425191e-01,1.062015328527271540e-02,-4.026076127211831723e-01
7.100000000000004918e-02,5.890755662021388561e-01,1.064880255390365793e-02,-4.105634037986282681e-01
7.200000000000005007e-02,5.887463075578727167e-01,1.066727786307580805e-02,-4.184222816444856941e-01
7.300000000000005096e-02,5.884187512271361609e-01,1.067547518218470159e-02,-4.261773548694560154e-01
7.400000000000005185e-02,5.880934067985345015e-01,1.067330954276596300e-02,-4.338221036538353892e-01
