time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542880163414792e-03
8.000000000000000167e-03,5.999925738692372112e-01,4.289906890173611487e-04,-7.637263150509754003e-03
9.000000000000001055e-03,5.999883262893291880e-01,5.367868371298212260e-04,-9.606210504575865908e-03
1.000000000000000194e-02,5.999825365384481302e-01,6.549174807894408978e-04,-1.178802532193782421e-02
1.100000000000000283e-02,5.999749047247932010e-01,7.828309160449187232e-04,-1.417951925591425487e-02
1.200000000000000372e-02,5.999651175410111170e-01,9.199674140659142019e-04,-1.677765110509395891e-02
1.300000000000000461e-02,5.999528510867824238e-01,1.065761778633655954e-03,-1.957950426321345902e-02
1.400000000000000550e-02,5.999377735886718410e-01,1.219645717511763650e-03,-2.258226584698421954e-02
1.500000000000000638e-02,5.999195479197292347e-01,1.381050070004663510e-03,-2.578320762157071747e-02
1.600000000000000727e-02,5.998978339305438556e-01,1.549406886455384491e-03,-2.917966878916308446e-02
1.700000000000000816e-02,5.998722905920461645e-01,1.724151362100134754e-03,-3.276904065850889947e-02
1.800000000000000905e-02,5.998425779522007506e-01,1.904723628304738625e-03,-3.654875317278656610e-02
1.900000000000000994e-02,5.998083589103745394e-01,2.090570404677583038e-03,-4.051626323987427003e-02
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02
2.100000000000001171e-02,5.997250794042549016e-01,2.475786674621394123e-03,-4.900340853976481448e-02
2.200000000000001260e-02,5.996753811849147020e-01,2.673757516415020685e-03,-5.351428110779635899e-02
2.300000000000001349e-02,5.996199045405626871e-01,2.874281475139517372e-03,-5.819649748965725899e-02
2.400000000000001438e-02,5.995583601478975400e-01,3.076614120770149174e-03,-6.304487192596217038e-02
2.500000000000001527e-02,5.994904719369895663e-01,3.280028621416797296e-03,-6.805420218079223649e-02
2.600000000000001615e-02,5.994159842207869016e-01,3.483772445092458980e-03,-7.321867990695520023e-02
2.700000000000001704e-02,5.993346687924938632e-01,3.687056482066686236e-03,-7.853099676763099224e-02
2.800000000000001793e-02,5.992463247319765873e-01,3.889070669573058137e-03,-8.398353899910505904e-02
2.900000000000001882e-02,5.991507735252312727e-01,4.089042900925266011e-03,-8.956869864605923603e-02
3.000000000000001971e-02,5.990478598532542609e-01,4.286230221837772358e-03,-9.527888754138531813e-02
3.100000000000002059e-02,5.989374594130059126e-01,4.479915900213959912e-03,-1.011063087129262655e-01
3.200000000000002148e-02,5.988194998539017044e-01,4.669399572927501740e-03,-1.070418578234836049e-01
3.300000000000002237e-02,5.986939774528272640e-01,4.854005227725277649e-03,-1.130752688898803565e-01
3.400000000000002326e-02,5.985609420102666611e-01,5.033104245988628822e-03,-1.191958086262692590e-01
3.500000000000002415e-02,5.984204924232258138e-01,5.206118614234755970e-03,-1.253928116264808046e-01
3.600000000000002504e-02,5.982727694069361890e-01,5.372520369530286999e-03,-1.316557063357165769e-01
3.700000000000002592e-02,5.981179548596065043e-01,5.531830071956844730e-03,-1.379740402775894714e-01
3.800000000000002681e-02,5.979562695662231642e-01,5.683615518253803955e-03,-1.443375043041722761e-01
3.900000000000002770e-02,5.977879706731534792e-01,5.827490199278639871e-03,-1.507359556682403290e-01
4.000000000000002859e-02,5.976133489768316043e-01,5.963111542540922017e-03,-1.571594397624892503e-01
4.100000000000002948e-02,5.974327269108858918e-01,6.090179947600915522e-03,-1.635982001316882706e-01
4.200000000000003036e-02,5.972464572190803178e-01,6.208441612463422299e-03,-1.700426591010494315e-01
4.300000000000003125e-02,5.970549196150430893e-01,6.317686177124415270e-03,-1.764834585238742315e-01
4.400000000000003214e-02,5.968585164540052279e-01,6.417744598028574110e-03,-1.829114887100150855e-01
4.500000000000003303e-02,5.966576692754113065e-01,6.508486019405845813e-03,-1.893179035032589164e-01
4.600000000000003392e-02,5.964528154839361385e-01,6.589814905131663458e-03,-1.956941336897378703e-01
4.700000000000003481e-02,5.962444050463082679e-01,6.661668190783343046e-03,-2.020318987720203241e-01
4.800000000000003569e-02,5.960328972648495371e-01,6.724012451943484070e-03,-2.083232171587170445e-01
4.900000000000003658e-02,5.958187576454482270e-01,6.776841113545095663e-03,-2.145604148318133453e-01
5.000000000000003747e-02,5.956024548733765966e-01,6.820171721137135989e-03,-2.207361325601817359e-01
5.100000000000003836e-02,5.953844576571792890e-01,6.854043235511364518e-03,-2.268433310525085622e-01
5.200000000000003925e-02,5.951652323554554869e-01,6.878513533695063131e-03,-2.328752955995070650e-01
5.300000000000004013e-02,5.949452404640924730e-01,6.893656963556427097e-03,-2.388256403282506546e-01
5.400000000000004102e-02,5.947249360820563435e-01,6.899561964585076979e-03,-2.446883092540072802e-01
5.500000000000004191e-02,5.945047636196566510e-01,6.896328676101570743e-03,-2.504575732994702708e-01
5.600000000000004280e-02,5.942851560896740271e-01,6.884066743727323967e-03,-2.561280291954250998e-01
5.700000000000004369e-02,5.940665339788360200e-01,6.862893444331275017e-03,-2.616945992140777277e-01
5.800000000000004458e-02,5.938493024888797933e-01,6.832931826939780962e-03,-2.671525310352136917e-01
5.900000000000004546e-02,5.936338493050435927e-01,6.794309006238730131e-03,-2.724973952434393554e-01
6.000000000000004635e-02,5.934205436093066277e-01,6.747154601941141028e-03,-2.777250825806562573e-01
6.100000000000004724e-02,5.932097345841110814e-01,6.691599308810525226e-03,-2.828318008684089224e-01
6.200000000000004813e-02,5.930017500868229874e-01,6.627773590522911817e-03,-2.878140714164733605e-01
6.300000000000004208e-02,5.927968954297810900e-01,6.555806494764615522e-03,-2.926687249363728038e-01
6.400000000000004297e-02,5.925954522462739682e-01,6.475824584534217720e-03,-2.973928969305331127e-01
6.500000000000004385e-02,5.923976774146157975e-01,6.387950980124845746e-03,-3.019840224153957919e-01
6.600000000000004474e-02,5.922038020072226683e-01,6.292304508120905027e-03,-3.064398295550759266e-01
6.700000000000004563e-02,5.920140302710529268e-01,6.188998969108350234e-03,-3.107583310409327559e-01
6.800000000000004652e-02,5.918285389692314880e-01,6.078142628023974758e-03,-3.149378102825935444e-01
6.900000000000004741e-02,5.916474789194606787e-01,5.959838355022839540e-03,-3.189767984844062432e-01
7.000000000000004829e-02,5.914709901652890345e-01,5.834186270641861238e-03,-3.228740729049084934e-01
7.100000000000004918e-02,5.912991813190446866e-01,5.701282745394387064e-03,-3.266285894890397778e-01
7.200000000000005007e-02,5.911321596941453427e-01,5.561222557764977648e-03,-3.302394737668621905e-01
7.300000000000005096e-02,5.909700179971032474e-01,5.414093397657360196e-03,-3.337060695719653580e-01
7.400000000000005185e-02,5.908128461094026562e-01,5.259977162136164619e-03,-3.370278925945814352e-01
