time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626462634140e-01,3.320605025917133801e-04,-5.884472058023578964e-03
8.000000000000000167e-03,5.999925743239408193e-01,4.288857282813141047e-04,-7.636239370029244619e-03
9.000000000000001055e-03,5.999883287095364448e-01,5.363726047096784022e-04,-9.601964541898221767e-03
1.000000000000000194e-02,5.999825447570846793e-01,6.538381593764186483e-04,-1.177678122136591177e-02
1.100000000000000283e-02,5.999749277095846045e-01,7.805864614867652485e-04,-1.415561949575437975e-02
1.200000000000000372e-02,5.999651732289267292e-01,9.159097079228795124e-04,-1.673328823404177101e-02
1.300000000000000461e-02,5.999529709359922025e-01,1.059092753924240071e-03,-1.950462785564228627e-02
1.400000000000000550e-02,5.999380076626933400e-01,1.209416776756400136e-03,-2.246449704711894757e-02
1.500000000000000638e-02,5.999199714917706761e-01,1.366143213377246646e-03,-2.560754053910074823e-02
1.600000000000000727e-02,5.998985579071026697e-01,1.528490992387443459e-03,-2.892731387934497495e-02
1.700000000000000816e-02,5.998734732637145406e-01,1.695641034662243030e-03,-3.241689771969336747e-02
1.800000000000000905e-02,5.998444364802884010e-01,1.866789950218550320e-03,-3.606932288674090381e-02
1.900000000000000994e-02,5.998111813683563165e-01,2.041146877859223441e-03,-3.987757297916403459e-02
2.000000000000001082e-02,5.997734604270991143e-01,2.217939115837286312e-03,-4.383449486700658621e-02
2.100000000000001171e-02,5.997310485185803897e-01,2.396416795671374445e-03,-4.793270700706137033e-02
2.200000000000001260e-02,5.996837444388105620e-01,2.575854945546129926e-03,-5.216475261863635915e-02
2.300000000000001349e-02,5.996313714175888210e-01,2.755553858301562631e-03,-5.652313936268197475e-02
2.400000000000001438e-02,5.995737780031209496e-01,2.934841043891966983e-03,-6.100035148390759582e-02
2.500000000000001527e-02,5.995108385890400848e-01,3.113072660175852935e-03,-6.558886308435156465e-02
2.600000000000001615e-02,5.994424536457285679e-01,3.289634651123807263e-03,-7.028115224526611249e-02
2.700000000000001704e-02,5.993685536358528410e-01,3.463935317091715316e-03,-7.506952476261619100e-02
2.800000000000001793e-02,5.992891099990551584e-01,3.635393701900302421e-03,-7.994525574124670964e-02
2.900000000000001882e-02,5.992041353859978159e-01,3.803443522398530785e-03,-8.489916954242759939e-02
3.000000000000001971e-02,5.991136758501802717e-01,3.967556470799937784e-03,-8.992214309779740511e-02
3.100000000000002059e-02,5.990178093818607774e-01,4.127241579277463046e-03,-9.500512599079125042e-02
3.200000000000002148e-02,5.989166448459224412e-01,4.282044144161556432e-03,-1.001391601315037988e-01
3.300000000000002237e-02,5.988103204832168069e-01,4.431545118395996408e-03,-1.053153988359173954e-01
3.400000000000002326e-02,5.986990022286133861e-01,4.575360304710396342e-03,-1.105251251548907271e-01
3.500000000000002415e-02,5.985828818756887548e-01,4.713139376282537985e-03,-1.157597693284965201e-01
3.600000000000002504e-02,5.984621751162068071e-01,4.844564750762059280e-03,-1.210109252689001019e-01
3.700000000000002592e-02,5.983371194806705873e-01,4.969350342386547048e-03,-1.262703659998363204e-01
3.800000000000002681e-02,5.982079722043066594e-01,5.087240215597976789e-03,-1.315300580028422039e-01
3.900000000000002770e-02,5.980750080409136249e-01,5.198007162100781731e-03,-1.367821744397956507e-01
4.000000000000002859e-02,5.979385173658062769e-01,5.301451617550745343e-03,-1.420191029405487859e-01
4.100000000000002948e-02,5.977988058916013925e-01,5.397403917293874809e-03,-1.472334202538047587e-01
4.200000000000003036e-02,5.976561920148429907e-01,5.485724044922368758e-03,-1.524179079043328777e-01
4.300000000000003125e-02,5.975110040967843705e-01,5.566299558540155346e-03,-1.575655852178687311e-01
4.400000000000003214e-02,5.973635774382572983e-01,5.639043439677693392e-03,-1.626697179191457787e-01
4.500000000000003303e-02,5.972142520683970668e-01,5.703892043461611383e-03,-1.677238256175632158e-01
4.600000000000003392e-02,5.970633704664078945e-01,5.760803134346570431e-03,-1.727216882273293896e-01
4.700000000000003481e-02,5.969112754379231056e-01,5.809753959922392408e-03,-1.776573513919304792e-01
4.800000000000003569e-02,5.967583080411996699e-01,5.850739366296042743e-03,-1.825251309763313012e-01
4.900000000000003658e-02,5.966048053850857569e-01,5.883769956664730572e-03,-1.873196164141549547e-01
5.000000000000003747e-02,5.964510986514688362e-01,5.908870324745907343e-03,-1.920356734366718277e-01
5.100000000000003836e-02,5.962975115801112391e-01,5.926077358981429732e-03,-1.966684457379853368e-01
5.200000000000003925e-02,5.961443590216257693e-01,5.935438508788970502e-03,-2.012133533985691336e-01
5.300000000000004013e-02,5.959919454877153910e-01,5.937010161836731026e-03,-2.056660910752799443e-01
5.400000000000004102e-02,5.958405638297312734e-01,5.930856164198861080e-03,-2.100226278614362452e-01
5.500000000000004191e-02,5.956904938494083090e-01,5.917046474370746267e-03,-2.142792066070719481e-01
5.600000000000004280e-02,5.955420011415922810e-01,5.895655907528662976e-03,-2.184323425860978385e-01
5.700000000000004369e-02,5.953953358874197743e-01,5.866762954452764411e-03,-2.224788219088267294e-01
5.800000000000004458e-02,5.952507319351709736e-01,5.830448712485225560e-03,-2.264156994458088878e-01
5.900000000000004546e-02,5.951084058890135919e-01,5.786795897267160704e-03,-2.302402963711704387e-01
6.000000000000004635e-02,5.949685562997452104e-01,5.735887945267914567e-03,-2.339501973549538982e-01
6.100000000000004724e-02,5.948313629268986436e-01,5.677808203067846726e-03,-2.375432474048904119e-01
6.200000000000004813e-02,5.946969860367181671e-01,5.612639199312374760e-03,-2.410175482522940449e-01
6.300000000000004208e-02,5.945655656579563741e-01,5.540461996103251963e-03,-2.443714536414989813e-01
6.400000000000004297e-02,5.944372210041967142e-01,5.461355711478876884e-03,-2.476035596006001260e-01
6.500000000000004385e-02,5.943120538819023357e-01,5.375397919644531175e-03,-2.507126803097954881e-01
6.600000000000004474e-02,5.941901522952015569e-01,5.282665132133046448e-03,-2.536978220881596080e-01
6.700000000000004563e-02,5.940715931440517794e-01,5.183235388761919804e-03,-2.565581627458031755e-01
6.800000000000004652e-02,5.939564426689570853e-01,5.077185380534754433e-03,-2.592930353854242531e-01
6.900000000000004741e-02,5.938447573598827356e-01,4.964588939451841654e-03,-2.619019258168451270e-01
7.000000000000004829e-02,5.937365866376638213e-01,4.845515013134626958e-03,-2.643844671716458206e-01
7.100000000000004918e-02,5.936319723662436543e-01,4.720033668593526244e-03,-2.667404305607334880e-01
7.200000000000005007e-02,5.935309460581862373e-01,4.588216694403457474e-03,-2.689697206571040056e-01
7.300000000000005096e-02,5.934335283144864803e-01,4.450135023408019475e-03,-2.710723774865973490e-01
7.400000000000005185e-02,5.933397305374430442e-01,4.305856996382029234e-03,-2.730485722940224069e-01
