name,mode,direction,target,status,started_at,finished_at,model_zip,gait_json,eval_reward_csv,eval_reward_png,eval_debug_csv,trajectory_csv,trajectory_png,trajectory_summary,fitted_png,fitted_summary,train_log,error
ppo_turn_right_a20_r07_run01,radius,right,0.7,done,2026-06-15 17:10:55,2026-06-15 17:24:35,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_right_a20_r07_run01.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_right_a20_r07_run01.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run01_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run01_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run01_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run01_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run01_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run01_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_right_a20_r07_run01_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_right_a20_r07_run01_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_right_a20_r07_run01.train.log,
ppo_turn_right_a20_r07_run02,radius,right,0.7,done,2026-06-15 17:24:35,2026-06-15 17:38:22,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_right_a20_r07_run02.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_right_a20_r07_run02.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run02_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run02_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run02_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run02_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run02_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run02_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_right_a20_r07_run02_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_right_a20_r07_run02_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_right_a20_r07_run02.train.log,
ppo_turn_right_a20_r07_run03,radius,right,0.7,done,2026-06-15 17:38:22,2026-06-15 17:52:23,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_right_a20_r07_run03.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_right_a20_r07_run03.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run03_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run03_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run03_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run03_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run03_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run03_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_right_a20_r07_run03_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_right_a20_r07_run03_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_right_a20_r07_run03.train.log,
ppo_turn_right_a20_r07_run04,radius,right,0.7,done,2026-06-15 17:52:23,2026-06-15 18:06:05,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_right_a20_r07_run04.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_right_a20_r07_run04.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run04_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run04_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run04_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run04_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run04_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run04_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_right_a20_r07_run04_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_right_a20_r07_run04_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_right_a20_r07_run04.train.log,
ppo_turn_right_a20_r07_run05,radius,right,0.7,done,2026-06-15 18:06:05,2026-06-15 18:19:40,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_right_a20_r07_run05.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_right_a20_r07_run05.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run05_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run05_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r07_run05_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run05_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run05_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_right_a20_r07_run05_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_right_a20_r07_run05_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_right_a20_r07_run05_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_right_a20_r07_run05.train.log,
ppo_turn_left_a20_r03_run01,radius,left,0.3,done,2026-06-15 18:19:40,2026-06-15 18:33:25,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r03_run01.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r03_run01.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run01_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run01_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run01_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run01_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run01_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run01_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r03_run01_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r03_run01_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r03_run01.train.log,
ppo_turn_left_a20_r03_run02,radius,left,0.3,done,2026-06-15 18:33:25,2026-06-15 18:46:55,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r03_run02.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r03_run02.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run02_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run02_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run02_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run02_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run02_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run02_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r03_run02_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r03_run02_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r03_run02.train.log,
ppo_turn_left_a20_r03_run03,radius,left,0.3,done,2026-06-15 18:46:55,2026-06-15 19:00:32,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r03_run03.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r03_run03.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run03_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run03_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run03_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run03_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run03_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run03_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r03_run03_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r03_run03_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r03_run03.train.log,
ppo_turn_left_a20_r03_run04,radius,left,0.3,done,2026-06-15 19:00:32,2026-06-15 19:14:17,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r03_run04.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r03_run04.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run04_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run04_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run04_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run04_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run04_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run04_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r03_run04_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r03_run04_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r03_run04.train.log,
ppo_turn_left_a20_r03_run05,radius,left,0.3,done,2026-06-15 19:14:17,2026-06-15 19:28:31,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r03_run05.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r03_run05.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run05_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run05_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run05_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run05_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run05_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r03_run05_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r03_run05_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r03_run05_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r03_run05.train.log,
ppo_turn_left_a20_r05_run01,radius,left,0.5,done,2026-06-15 19:28:31,2026-06-15 19:43:14,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r05_run01.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r05_run01.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run01_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run01_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run01_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run01_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run01_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run01_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r05_run01_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r05_run01_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r05_run01.train.log,
ppo_turn_left_a20_r05_run02,radius,left,0.5,done,2026-06-15 19:43:14,2026-06-15 20:01:13,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r05_run02.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r05_run02.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run02_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run02_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run02_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run02_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run02_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run02_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r05_run02_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r05_run02_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r05_run02.train.log,
ppo_turn_left_a20_r05_run03,radius,left,0.5,done,2026-06-15 20:01:13,2026-06-15 20:18:34,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r05_run03.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r05_run03.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run03_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run03_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run03_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run03_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run03_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run03_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r05_run03_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r05_run03_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r05_run03.train.log,
ppo_turn_left_a20_r05_run04,radius,left,0.5,done,2026-06-15 20:18:34,2026-06-15 20:35:30,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r05_run04.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r05_run04.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run04_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run04_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run04_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run04_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run04_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run04_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r05_run04_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r05_run04_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r05_run04.train.log,
ppo_turn_left_a20_r05_run05,radius,left,0.5,done,2026-06-15 20:35:30,2026-06-15 20:51:40,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\zips\ppo_turn_left_a20_r05_run05.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\json\rl_gaits\ppo_turn_left_a20_r05_run05.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run05_eval_reward.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run05_eval_reward.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run05_eval_debug.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run05_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run05_trajectory.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fixed_gait_trajectories_mean\ppo_turn_left_a20_r05_run05_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\sim_ppo_turn_left_a20_r05_run05_fitted_rotated.png,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\fitted_curve_comparison_mean\ppo_turn_left_a20_r05_run05_fitted_summary.json,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\batch_logs\ppo_turn_left_a20_r05_run05.train.log,
