time,x,y,yaw
1.000000000000000021e-03,5.999999986186552725e-01,-7.311225710571189751e-06,1.181264546034448137e-04
2.000000000000000042e-03,5.999999787113060590e-01,-2.909971732839577996e-05,4.689548845606330706e-04
3.000000000000000062e-03,5.999999017912978072e-01,-6.498329506210431816e-05,1.047346368615995364e-03
4.000000000000000083e-03,5.999997023842983390e-01,-1.146009081386401007e-04,1.848367597631128028e-03
5.000000000000000104e-03,5.999992925430612800e-01,-1.775853222409362608e-04,2.867279847210528216e-03
6.000000000000000125e-03,5.999985640199514414e-01,-2.535641269674759890e-04,4.099527320745669987e-03
7.000000000000000146e-03,5.999973904113787837e-01,-3.421607104011070710e-04,5.540725080705325052e-03
8.000000000000000167e-03,5.999956292593066065e-01,-4.429951990754799063e-04,7.186646775687526890e-03
9.000000000000001055e-03,5.999931240970711732e-01,-5.556853622912805157e-04,9.033212355905888627e-03
1.000000000000000194e-02,5.999897064277281977e-01,-6.798474807181986712e-04,1.107647595063023654e-02
1.100000000000000283e-02,5.999851976238174123e-01,-8.150971808704166044e-04,1.331261405748287129e-02
1.200000000000000372e-02,5.999794107375653329e-01,-9.610502399152176523e-04,1.573791416463007561e-02
1.300000000000000461e-02,5.999721522097474224e-01,-1.117323370209033495e-03,1.834876389111077602e-02
1.400000000000000550e-02,5.999632234631803174e-01,-1.283535001196378644e-03,2.114164068489956042e-02
1.500000000000000638e-02,5.999524223624469466e-01,-1.459306089552636632e-03,2.411310205842622303e-02
1.600000000000000727e-02,5.999395446920059438e-01,-1.644260712170719785e-03,2.725977689949141830e-02
1.700000000000000816e-02,5.999243855950300297e-01,-1.838026497605060872e-03,3.057835881521568308e-02
1.800000000000000905e-02,5.999067408578969696e-01,-2.040235100266962753e-03,3.406559871284943475e-02
1.900000000000000994e-02,5.998864078840074887e-01,-2.250522952876532479e-03,3.771829837790753592e-02
2.000000000000001082e-02,5.998631867078246804e-01,-2.468531748756552791e-03,4.153330508153774137e-02
2.100000000000001171e-02,5.998368808983128853e-01,-2.693908915185172503e-03,4.550750696800450606e-02
2.200000000000001260e-02,5.998072983870988972e-01,-2.926308051895920581e-03,4.963782918409322120e-02
2.300000000000001349e-02,5.997742521873872246e-01,-3.165389334726875781e-03,5.392123070762598613e-02
2.400000000000001438e-02,5.997375610255089029e-01,-3.410819885039051425e-03,5.835470182771045067e-02
2.500000000000001527e-02,5.996970498876896816e-01,-3.662274105353968690e-03,6.293526222519445212e-02
2.600000000000001615e-02,5.996525504865670708e-01,-3.919433981720565896e-03,6.765995959956173922e-02
2.700000000000001704e-02,5.996039016521381715e-01,-4.181989353371495799e-03,7.252586878754634092e-02
2.800000000000001793e-02,5.995509496518968140e-01,-4.449638150277435145e-03,7.753009131887828032e-02
2.900000000000001882e-02,5.994935484449410712e-01,-4.722086599265318263e-03,8.266975535562008648e-02
3.000000000000001971e-02,5.994315598748014562e-01,-4.999049399422583750e-03,8.794201596333990623e-02
3.100000000000002059e-02,5.993648538056648434e-01,-5.280249867570030453e-03,9.334405566473490123e-02
3.200000000000002148e-02,5.992933082065600159e-01,-5.565420054644498737e-03,9.887308522912331699e-02
3.300000000000002237e-02,5.992168091879341851e-01,-5.854300833894099387e-03,1.045263446543392982e-01
3.400000000000002326e-02,5.991352509948881799e-01,-6.146641961843890556e-03,1.103011043008784026e-01
3.500000000000002415e-02,5.990485359611638083e-01,-6.442202113048467460e-03,1.161946661415609178e-01
3.600000000000002504e-02,5.989565744277858261e-01,-6.740748889696723811e-03,1.222043650934233200e-01
3.700000000000002592e-02,5.988592846300681005e-01,-7.042058807184115032e-03,1.283275704019523344e-01
3.800000000000002681e-02,5.987565925564883873e-01,-7.345917256808165430e-03,1.345616870510873142e-01
3.900000000000002770e-02,5.986484317827385215e-01,-7.652118446782263383e-03,1.409041571755962896e-01
4.000000000000002859e-02,5.985347432840528725e-01,-7.960465322790655218e-03,1.473524614554481971e-01
4.100000000000002948e-02,5.984154752287175194e-01,-8.270769469334859902e-03,1.539041204746373626e-01
4.200000000000003036e-02,5.982905827554720890e-01,-8.582850993137436379e-03,1.605566960295532475e-01
4.300000000000003125e-02,5.981600277373233521e-01,-8.896538389881414322e-03,1.673077923744203666e-01
4.400000000000003214e-02,5.980237785341081524e-01,-9.211668395566918743e-03,1.741550573935596036e-01
4.500000000000003303e-02,5.978818097359666073e-01,-9.528085823765519713e-03,1.810961836922430346e-01
4.600000000000003392e-02,5.977341018997192057e-01,-9.845643390043568033e-03,1.881289095997363547e-01
4.700000000000003481e-02,5.975806412799778977e-01,-1.016420152481062322e-02,1.952510200797531181e-01
4.800000000000003569e-02,5.974214195566713848e-01,-1.048362817582987327e-02,2.024603475449934242e-01
