time,x,y,yaw
1.000000000000000021e-03,5.999999982339679905e-01,-7.254494606590000672e-06,1.224330807671518623e-04
2.000000000000000042e-03,5.999999734121613804e-01,-2.887305431942266409e-05,4.860416423082349101e-04
3.000000000000000062e-03,5.999998775785175820e-01,-6.447403614145974515e-05,1.085499708183770059e-03
4.000000000000000083e-03,5.999996293209850506e-01,-1.136906119548752869e-04,1.915751516809686451e-03
5.000000000000000104e-03,5.999991194322655819e-01,-1.761451105253830640e-04,2.971995522764879407e-03
6.000000000000000125e-03,5.999982136513059006e-01,-2.514505273975009558e-04,4.249667586553410384e-03
7.000000000000000146e-03,5.999967553398113385e-01,-3.392119734597631719e-04,5.744423668325284241e-03
8.000000000000000167e-03,5.999945680758289601e-01,-4.390280614469110887e-04,7.452122319261613066e-03
9.000000000000001055e-03,5.999914581480370046e-01,-5.504922323515404337e-04,9.368807233780382035e-03
1.000000000000000194e-02,5.999872169326400106e-01,-6.731940284757653714e-04,1.149069008477185926e-02
1.100000000000000283e-02,5.999816231399649480e-01,-8.067203284997659374e-04,1.381413380991034986e-02
1.200000000000000372e-02,5.999744449235739907e-01,-9.506565506552377975e-04,1.633563649264155315e-02
1.300000000000000461e-02,5.999654420788484988e-01,-1.104587608742879645e-03,1.905181657375696128e-02
1.400000000000000550e-02,5.999543679216644554e-01,-1.268098952428076132e-03,2.195939894040570967e-02
1.500000000000000638e-02,5.999409711083332208e-01,-1.440777482054733660e-03,2.505520165198981200e-02
1.600000000000000727e-02,5.999249972145881404e-01,-1.622212507866649389e-03,2.833612397095280205e-02
1.700000000000000816e-02,5.999061902727015338e-01,-1.811996577278596199e-03,3.179913551775189612e-02
1.800000000000000905e-02,5.998842941650992522e-01,-2.009726259249278169e-03,3.544126655421489525e-02
1.900000000000000994e-02,5.998590538930559379e-01,-2.215002874447091763e-03,3.925959937966065627e-02
2.000000000000001082e-02,5.998302167243523275e-01,-2.427433172796422678e-03,4.325126080757588087e-02
2.100000000000001171e-02,5.997975332244880331e-01,-2.646629959984159175e-03,4.741341567720027544e-02
2.200000000000001260e-02,5.997607581766168927e-01,-2.872212674480456585e-03,5.174326134390474369e-02
2.300000000000001349e-02,5.997196513957968600e-01,-3.103807916600143102e-03,5.623802308451947979e-02
2.400000000000001438e-02,5.996739784434546028e-01,-3.341049931097739289e-03,6.089495034850880839e-02
2.500000000000001527e-02,5.996235112481519414e-01,-3.583581044757033762e-03,6.571131378280092861e-02
2.600000000000001615e-02,5.995680286388328506e-01,-3.831052060406736626e-03,7.068440295686069519e-02
2.700000000000001704e-02,5.995073167967280847e-01,-4.083122608768807726e-03,7.581152471494269351e-02
2.800000000000001793e-02,5.994411696320226524e-01,-4.339461459525351117e-03,8.109000208409443411e-02
2.900000000000001882e-02,5.993693890912525912e-01,-4.599746792972592146e-03,8.651717366912975438e-02
3.000000000000001971e-02,5.992917854012143053e-01,-4.863666433623015095e-03,9.209039346921898961e-02
3.100000000000002059e-02,5.992081772549350260e-01,-5.130918047106358681e-03,9.780703105473073644e-02
3.200000000000002148e-02,5.991183919450020490e-01,-5.401209301720388822e-03,1.036644720473238468e-01
3.300000000000002237e-02,5.990222654492608489e-01,-5.674257995982368019e-03,1.096601188508680852e-01
3.400000000000002326e-02,5.989196424736029645e-01,-5.949792153534583239e-03,1.157913915854354991e-01
3.500000000000002415e-02,5.988103764562563436e-01,-6.227550086761790560e-03,1.220557291812434664e-01
3.600000000000002504e-02,5.986943295376898622e-01,-6.507280430485151701e-03,1.284505905939590242e-01
3.700000000000002592e-02,5.985713724999377483e-01,-6.788742147099624535e-03,1.349734561071260219e-01
3.800000000000002681e-02,5.984413846788552149e-01,-7.071704504529263691e-03,1.416218286916033908e-01
3.900000000000002770e-02,5.983042538525259468e-01,-7.355947028375831032e-03,1.483932353957703176e-01
4.000000000000002859e-02,5.981598761087706384e-01,-7.641259429636892975e-03,1.552852287438404588e-01
4.100000000000002948e-02,5.980081556944381038e-01,-7.927441509370747319e-03,1.622953881229228512e-01
4.200000000000003036e-02,5.978490048489186748e-01,-8.214303041678361339e-03,1.694213211424666077e-01
4.300000000000003125e-02,5.976823436240813470e-01,-8.501663636368117505e-03,1.766606649524364026e-01
4.400000000000003214e-02,5.975080996926259713e-01,-8.789352582657117274e-03,1.840110875089932263e-01
4.500000000000003303e-02,5.973262081466383933e-01,-9.077208675250969527e-03,1.914702887786135788e-01
4.600000000000003392e-02,5.971366112879540333e-01,-9.365080024126004599e-03,1.990360018734857739e-01
4.700000000000003481e-02,5.969392584117689804e-01,-9.652823849319591698e-03,2.067059941126912770e-01
4.800000000000003569e-02,5.967341055847836806e-01,-9.940306262010367711e-03,2.144780680051306954e-01
4.900000000000003658e-02,5.965211154190281917e-01,-1.022740203314465024e-02,2.223500621514074571e-01
5.000000000000003747e-02,5.963002568423952932e-01,-1.051399435083733014e-02,2.303198520629554380e-01
5.100000000000003836e-02,5.960715048667950544e-01,-1.079997456774423048e-02,2.383853508976088165e-01
5.200000000000003925e-02,5.958348585316707302e-01,-1.108524300793156669e-02,2.465442721745157995e-01
5.300000000000004013e-02,5.955903453179629548e-01,-1.136971252147356282e-02,2.547937421146523329e-01
5.400000000000004102e-02,5.953380257488050109e-01,-1.165330779230855374e-02,2.631307965280099692e-01
5.500000000000004191e-02,5.950779678860513844e-01,-1.193596574951727440e-02,2.715525136226305536e-01
5.600000000000004280e-02,5.948102509964476869e-01,-1.221763462883590501e-02,2.800560178207030515e-01
5.700000000000004369e-02,5.945349648246937013e-01,-1.249827340605347281e-02,2.886384833116661386e-01
5.800000000000004458e-02,5.942522088512851575e-01,-1.277785121139402014e-02,2.972971373348622937e-01
5.900000000000004546e-02,5.939620915403246437e-01,-1.305634672948297048e-02,3.060292631875338176e-01
6.000000000000004635e-02,5.936647295821664283e-01,-1.333374758928096426e-02,3.148322029568126346e-01
6.100000000000004724e-02,5.933602471354230135e-01,-1.361004974813057045e-02,3.237033599768591730e-01
6.200000000000004813e-02,5.930487750725313978e-01,-1.388525687380681717e-02,3.326402010144711707e-01
6.300000000000004208e-02,5.927304502327362945e-01,-1.415937972819558688e-02,3.416402581883377088e-01
6.400000000000004297e-02,5.924054146860202597e-01,-1.443243555594653227e-02,3.507011306286799690e-01
6.500000000000004385e-02,5.920738150111799492e-01,-1.470444748116545020e-02,3.598204858853226717e-01
6.600000000000004474e-02,5.917358015909247593e-01,-1.497544391492516835e-02,3.689960610933057938e-01
6.700000000000004563e-02,5.913915279265652414e-01,-1.524545797608967135e-02,3.782256639059949910e-01
6.800000000000004652e-02,5.910411499745491515e-01,-1.551452692766525088e-02,3.875071732063072871e-01
6.900000000000004741e-02,5.906848255068173348e-01,-1.578269163061529756e-02,3.968385396071537619e-01
7.000000000000004829e-02,5.903227134966678724e-01,-1.604999601680900945e-02,4.062177857525381408e-01
7.100000000000004918e-02,5.899549735315516852e-01,-1.631648658251455553e-02,4.156430064309524774e-01
7.200000000000005007e-02,5.895817652539758758e-01,-1.658221190360037456e-02,4.251123685128012641e-01
7.300000000000005096e-02,5.892032478314482846e-01,-1.684722217337436545e-02,4.346241107235743195e-01
7.400000000000005185e-02,5.888195794561823515e-01,-1.711156876376751512e-02,4.441765432643946521e-01
7.500000000000005274e-02,5.884309168750724295e-01,-1.737530381036328508e-02,4.537680472914005780e-01
7.600000000000005362e-02,5.880374149502617387e-01,-1.763847982158028849e-02,4.633970742651938313e-01
7.700000000000005451e-02,5.876392262504521735e-01,-1.790114931213776517e-02,4.730621451813079581e-01
7.800000000000005540e-02,5.872365006729433068e-01,-1.816336446077132516e-02,4.827618496923314906e-01
7.900000000000005629e-02,5.868293850962482683e-01,-1.842517679201788328e-02,4.924948451319672293e-01
8.000000000000005718e-02,5.864180230629992829e-01,-1.868663688175414839e-02,5.022598554509289936e-01
8.100000000000005806e-02,5.860025544927442986e-01,-1.894779408605562487e-02,5.120556700741760725e-01
8.200000000000005895e-02,5.855831154241279979e-01,-1.920869629283566971e-02,5.218811426885687776e-01
8.300000000000005984e-02,5.851598377858631128e-01,-1.946938969563216659e-02,5.317351899696022288e-01
8.400000000000006073e-02,5.847328491958141417e-01,-1.972991858882977567e-02,5.416167902554414049e-01
8.500000000000006162e-02,5.843022727874489508e-01,-1.999032518353899279e-02,5.515249821760452864e-01
8.600000000000006251e-02,5.838682270628534621e-01,-2.025064944329563188e-02,5.614588632447331529e-01
8.700000000000006339e-02,5.834308257714527768e-01,-2.051092893870132272e-02,5.714175884191174948e-01
8.800000000000006428e-02,5.829901778135416768e-01,-2.077119872008936774e-02,5.814003686379058955e-01
8.900000000000006517e-02,5.825463871676911376e-01,-2.103149120727859644e-02,5.914064693396618999e-01
9.000000000000006606e-02,5.820995528410727315e-01,-2.129183609545931555e-02,6.014352089692170944e-01
9.100000000000006695e-02,5.816497688417164857e-01,-2.155226027625145591e-02,6.114859574770404871e-01
9.200000000000006783e-02,5.811971241717078795e-01,-2.181278777297551708e-02,6.215581348164996855e-01
9.300000000000006872e-02,5.807417028403109027e-01,-2.207343968918462629e-02,6.316512094435901004e-01
9.400000000000006961e-02,5.802836599303943244e-01,-2.233416068650101449e-02,6.417637314842485896e-01
9.500000000000007050e-02,5.798233199145693684e-01,-2.259482167608722891e-02,6.518915369875362131e-01
9.600000000000007139e-02,5.793611239311871053e-01,-2.285522415977198074e-02,6.620292952484670979e-01
9.700000000000007228e-02,5.788975602101543716e-01,-2.311517877097318818e-02,6.721717468630622472e-01
9.800000000000007316e-02,5.784331365197118435e-01,-2.337423927622028774e-02,6.823113196134278358e-01
9.900000000000007405e-02,5.779683782758449073e-01,-2.363186095042058010e-02,6.924383614345321902e-01
1.000000000000000749e-01,5.775038253919030362e-01,-2.388740894658275549e-02,7.025434943109770680e-01
1.010000000000000758e-01,5.770400112114131286e-01,-2.414031037336872298e-02,7.126176223288792633e-01
