time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542880163414792e-03
8.000000000000000167e-03,5.999925738692372112e-01,4.289906890173611487e-04,-7.637263150509754003e-03
9.000000000000001055e-03,5.999883262893291880e-01,5.367868371298212260e-04,-9.606210504575865908e-03
1.000000000000000194e-02,5.999825365384481302e-01,6.549174807894408978e-04,-1.178802532193782421e-02
1.100000000000000283e-02,5.999749047247932010e-01,7.828309160449187232e-04,-1.417951925591425487e-02
1.200000000000000372e-02,5.999651175410111170e-01,9.199674140659142019e-04,-1.677765110509395891e-02
1.300000000000000461e-02,5.999528510867824238e-01,1.065761778633655954e-03,-1.957950426321345902e-02
1.400000000000000550e-02,5.999377735886718410e-01,1.219645717511763650e-03,-2.258226584698421954e-02
1.500000000000000638e-02,5.999195479197292347e-01,1.381050070004663510e-03,-2.578320762157071747e-02
1.600000000000000727e-02,5.998978339305438556e-01,1.549406886455384491e-03,-2.917966878916308446e-02
1.700000000000000816e-02,5.998722905920461645e-01,1.724151362100134754e-03,-3.276904065850889947e-02
1.800000000000000905e-02,5.998425779522007506e-01,1.904723628304738625e-03,-3.654875317278656610e-02
1.900000000000000994e-02,5.998083589103745394e-01,2.090570404677583038e-03,-4.051626323987427003e-02
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02
2.100000000000001171e-02,5.997250768879957006e-01,2.475916277464740300e-03,-4.900458040711856006e-02
2.200000000000001260e-02,5.996753674921332378e-01,2.674354754401031542e-03,-5.352035457177165695e-02
2.300000000000001349e-02,5.996198612348324630e-01,2.875948897798574766e-03,-5.821384813336798886e-02
2.400000000000001438e-02,5.995582559318022309e-01,3.080198563276403956e-03,-6.308253413906722562e-02
2.500000000000001527e-02,5.994902594308616495e-01,3.286617416194126395e-03,-6.812387473479401823e-02
2.600000000000001615e-02,5.994155928151192469e-01,3.494733438532848790e-03,-7.333522493772826056e-02
2.700000000000001704e-02,5.993339998810996994e-01,3.704091588874858232e-03,-7.871335222437969570e-02
2.800000000000001793e-02,5.992452482455015161e-01,3.914255842391023421e-03,-8.425470723820038810e-02
2.900000000000001882e-02,5.991491258934517061e-01,4.124812198912197747e-03,-8.995570957443418947e-02
3.000000000000001971e-02,5.990454406609082572e-01,4.335369100733399428e-03,-9.581275257346123786e-02
3.100000000000002059e-02,5.989340206014045487e-01,4.545557615163953180e-03,-1.018222086864260939e-01
3.200000000000002148e-02,5.988147139693071885e-01,4.755031616210048107e-03,-1.079804352684808066e-01
3.300000000000002237e-02,5.986873957480105535e-01,4.963473058502310131e-03,-1.142836261820692478e-01
3.400000000000002326e-02,5.985519692494953858e-01,5.170595071217032324e-03,-1.207277260295390731e-01
3.500000000000002415e-02,5.984083655454269790e-01,5.376141207136586608e-03,-1.273086395599913045e-01
3.600000000000002504e-02,5.982565389943993450e-01,5.579883038632604819e-03,-1.340222677101162996e-01
3.700000000000002592e-02,5.980964670045886278e-01,5.781619743666754907e-03,-1.408645166485430200e-01
3.800000000000002681e-02,5.979281490678036715e-01,5.981177343681587377e-03,-1.478313066363173833e-01
3.900000000000002770e-02,5.977516057006831973e-01,6.178407819612430352e-03,-1.549185806095726148e-01
4.000000000000002859e-02,5.975668773107263299e-01,6.373188122861694893e-03,-1.621223124081430100e-01
4.100000000000002948e-02,5.973740230035491372e-01,6.565419097460667430e-03,-1.694385145898269773e-01
4.200000000000003036e-02,5.971731193464633325e-01,6.755024328926884092e-03,-1.768632457842208572e-01
4.300000000000003125e-02,5.969642591021864231e-01,6.941948934526154247e-03,-1.843926175525713029e-01
4.400000000000003214e-02,5.967475499452289389e-01,7.126158308780494721e-03,-1.920228007310103291e-01
4.500000000000003303e-02,5.965231131722854574e-01,7.307636837150799369e-03,-1.997500312439508263e-01
4.600000000000003392e-02,5.962910824167809709e-01,7.486386589875715369e-03,-2.075706153824489475e-01
4.700000000000003481e-02,5.960516023766083693e-01,7.662426006980582738e-03,-2.154809345491095485e-01
4.800000000000003569e-02,5.958048275630334345e-01,7.835788584498293297e-03,-2.234774494767493014e-01
4.900000000000003658e-02,5.955509210777468754e-01,8.006521570973312851e-03,-2.315567039326616727e-01
5.000000000000003747e-02,5.952900534241073460e-01,8.174684682368427158e-03,-2.397153279240681611e-01
5.100000000000003836e-02,5.950224013577507520e-01,8.340348842559353049e-03,-2.479500404233008493e-01
5.200000000000003925e-02,5.947481467809265787e-01,8.503594955702131752e-03,-2.562576516335445809e-01
5.300000000000004013e-02,5.944674756841743513e-01,8.664512715892802586e-03,-2.646350648176647447e-01
5.400000000000004102e-02,5.941805828974164871e-01,8.823099654927391011e-03,-2.730785846826451757e-01
5.500000000000004191e-02,5.938876906978965975e-01,8.979165379252973533e-03,-2.815814982171108150e-01
5.600000000000004280e-02,5.935890902247891177e-01,9.132265322987775935e-03,-2.901344183581124336e-01
5.700000000000004369e-02,5.932851203886387870e-01,9.281948565233621995e-03,-2.987269733509733682e-01
5.800000000000004458e-02,5.929761414861560720e-01,9.427785508558883532e-03,-3.073490243643519637e-01
5.900000000000004546e-02,5.926625229493907021e-01,9.569385522458118132e-03,-3.159906800823596429e-01
6.000000000000004635e-02,5.923446440706608973e-01,9.706387859507781268e-03,-3.246423099274874380e-01
6.100000000000004724e-02,5.920228916953010900e-01,9.838459864405069144e-03,-3.332945559567428995e-01
6.200000000000004813e-02,5.916976679887684387e-01,9.965290218830136215e-03,-3.419382172630031080e-01
6.300000000000004208e-02,5.913694496672822210e-01,1.008656154485149115e-02,-3.505630435890878527e-01
6.400000000000004297e-02,5.910387663458542828e-01,1.020196421422042699e-02,-3.591581465128623196e-01
6.500000000000004385e-02,5.907061712606240800e-01,1.031121006878588098e-02,-3.677129858010746433e-01
6.600000000000004474e-02,5.903722180823306465e-01,1.041404075965574050e-02,-3.762173799177455646e-01
6.700000000000004563e-02,5.900374633606554342e-01,1.051022201778401000e-02,-3.846615150227833402e-01
6.800000000000004652e-02,5.897024635402956516e-01,1.059954136987967255e-02,-3.930359525564641188e-01
6.900000000000004741e-02,5.893677720939660691e-01,1.068180595854967274e-02,-4.013316355061914975e-01
7.000000000000004829e-02,5.890339367808563598e-01,1.075684047139824351e-02,-4.095398934145116909e-01
7.100000000000004918e-02,5.887014970363115829e-01,1.082448518670442450e-02,-4.176524462024034934e-01
7.200000000000005007e-02,5.883709814966195939e-01,1.088459413699188749e-02,-4.256614068823744157e-01
7.300000000000005096e-02,5.880429056613311056e-01,1.093703339031854016e-02,-4.335592832312069600e-01
7.400000000000005185e-02,5.877177696951843000e-01,1.098167944732869605e-02,-4.413389784844928831e-01
