time,x,y,yaw
1.000000000000000021e-03,5.999999976068525198e-01,6.803868781823929623e-06,-1.195221003048046896e-04
2.000000000000000042e-03,5.999999659401953345e-01,2.705286292115083313e-05,-4.742840029087920777e-04
3.000000000000000062e-03,5.999998439346609924e-01,6.030741052048815831e-05,-1.058462092859235957e-03
4.000000000000000083e-03,5.999995285710106874e-01,1.060739392111376134e-04,-1.866023333975535452e-03
5.000000000000000104e-03,5.999988824670234866e-01,1.638035636323809108e-04,-2.890959836356319507e-03
6.000000000000000125e-03,5.999977379295126090e-01,2.329110779833998279e-04,-4.127385547767607223e-03
7.000000000000000146e-03,5.999959009204984817e-01,3.127788142067156052e-04,-5.569521079852641013e-03
8.000000000000000167e-03,5.999931549353344495e-01,4.027610388754321313e-04,-7.211678239590742223e-03
9.000000000000001055e-03,5.999892646956943576e-01,5.021882343381189884e-04,-9.048244719163673483e-03
1.000000000000000194e-02,5.999839798561713566e-01,6.103711633427821859e-04,-1.107366956298436178e-02
1.100000000000000283e-02,5.999770384112402821e-01,7.266048060654006768e-04,-1.328244974462829651e-02
1.200000000000000372e-02,5.999681699925172307e-01,8.501720852165384201e-04,-1.566911787763622388e-02
1.300000000000000461e-02,5.999570988429954177e-01,9.803474543192414181e-04,-1.822823153337996618e-02
1.400000000000000550e-02,5.999435466470646183e-01,1.116400263212635746e-03,-2.095436424584775498e-02
1.500000000000000638e-02,5.999272351232104450e-01,1.257597931260678870e-03,-2.384209828624300753e-02
1.600000000000000727e-02,5.999078883873683044e-01,1.403208920878196153e-03,-2.688601923470143942e-02
1.700000000000000816e-02,5.998852350857660776e-01,1.552505510454993409e-03,-3.008071232685568738e-02
1.800000000000000905e-02,5.998590102987162442e-01,1.704766372369881378e-03,-3.342076049140001170e-02
1.900000000000000994e-02,5.998289572191987107e-01,1.859278954498166936e-03,-3.690074397591303762e-02
2.000000000000001082e-02,5.997948286122773975e-01,2.015341666432357570e-03,-4.051524148646292595e-02
2.100000000000001171e-02,5.997563880631026079e-01,2.172265869393952276e-03,-4.425883269017538008e-02
2.200000000000001260e-02,5.997134110227073656e-01,2.329377678373378835e-03,-4.812610192405762655e-02
2.300000000000001349e-02,5.996656856619666520e-01,2.486019581407761248e-03,-5.211164295443257433e-02
2.400000000000001438e-02,5.996130135449855292e-01,2.641551881652826061e-03,-5.621006463010130849e-02
2.500000000000001527e-02,5.995552101338142981e-01,2.795353968592206861e-03,-6.041599727495640393e-02
2.600000000000001615e-02,5.994921123992338341e-01,2.946810439925673375e-03,-6.472366458029275849e-02
2.700000000000001704e-02,5.994235871516292447e-01,3.095312926769677730e-03,-6.912621802548597760e-02
2.800000000000001793e-02,5.993495305257122707e-01,3.240266707390859757e-03,-7.361660276179589346e-02
2.900000000000001882e-02,5.992698621929423153e-01,3.381112593474178141e-03,-7.818779465775113624e-02
3.000000000000001971e-02,5.991845257019194904e-01,3.517323611435196895e-03,-8.283281386910612554e-02
3.100000000000002059e-02,5.990934880087614989e-01,3.648405295260503944e-03,-8.754473849908868399e-02
3.200000000000002148e-02,5.989967388225213574e-01,3.773895789370540488e-03,-9.231671817847916794e-02
3.300000000000002237e-02,5.988942897922411301e-01,3.893365747365484797e-03,-9.714198741480091492e-02
3.400000000000002326e-02,5.987861735575393807e-01,4.006418046492377094e-03,-1.020138785812048643e-01
3.500000000000002415e-02,5.986724426836130819e-01,4.112687337533449394e-03,-1.069258344359905744e-01
3.600000000000002504e-02,5.985531685003879776e-01,4.211839449468735008e-03,-1.118714200828090088e-01
3.700000000000002592e-02,5.984284398643121561e-01,4.303570667737899313e-03,-1.168443342992342704e-01
3.800000000000002681e-02,5.982983719509235021e-01,4.387606707627333957e-03,-1.218382034839547434e-01
3.900000000000002770e-02,5.981631171116005286e-01,4.463705904315939943e-03,-1.268460418108591226e-01
4.000000000000002859e-02,5.980228629202281043e-01,4.531658206237132447e-03,-1.318608140737592138e-01
4.100000000000002948e-02,5.978778158628623718e-01,4.591287150196354805e-03,-1.368756545707122407e-01
4.200000000000003036e-02,5.977282012340132678e-01,4.642447412600614332e-03,-1.418838791245107533e-01
4.300000000000003125e-02,5.975742611468065624e-01,4.685023166557722440e-03,-1.468789960914304582e-01
4.400000000000003214e-02,5.974162561161342477e-01,4.718928208765349464e-03,-1.518546710525786603e-01
4.500000000000003303e-02,5.972544746561839757e-01,4.744111978220000303e-03,-1.568044866475780397e-01
4.600000000000003392e-02,5.970892293188515554e-01,4.760557654990449361e-03,-1.617220800719222085e-01
4.700000000000003481e-02,5.969208479793062239e-01,4.768277589885128176e-03,-1.666013063134235972e-01
4.800000000000003569e-02,5.967496688936602123e-01,4.767309770505601119e-03,-1.714362445819439529e-01
4.900000000000003658e-02,5.965760392587012850e-01,4.757715565363362931e-03,-1.762212026506562723e-01
5.000000000000003747e-02,5.964003133575218607e-01,4.739577302020181460e-03,-1.809507226874123853e-01
5.100000000000003836e-02,5.962228500926463060e-01,4.712995986976220575e-03,-1.856195870239427115e-01
5.200000000000003925e-02,5.960440105100925923e-01,4.678089059743650857e-03,-1.902228229341702548e-01
5.300000000000004013e-02,5.958641550773738915e-01,4.634988200114209533e-03,-1.947557058987913481e-01
5.400000000000004102e-02,5.956836420686953959e-01,4.583837244611310702e-03,-1.992137621667329772e-01
5.500000000000004191e-02,5.955028254632159790e-01,4.524790186528848679e-03,-2.035927704783361547e-01
5.600000000000004280e-02,5.953220530094649465e-01,4.458009307632848639e-03,-2.078887628446805524e-01
5.700000000000004369e-02,5.951416643869447132e-01,4.383663396932191425e-03,-2.120980245796051933e-01
5.800000000000004458e-02,5.949619894635405082e-01,4.301926061121452705e-03,-2.162170937825900197e-01
5.900000000000004546e-02,5.947833466446047490e-01,4.212974113838030554e-03,-2.202427601982414884e-01
6.000000000000004635e-02,5.946060413036076131e-01,4.116986075460293826e-03,-2.241720634855967065e-01
6.100000000000004724e-02,5.944303642818400402e-01,4.014140774723284899e-03,-2.280022909345083837e-01
6.200000000000004813e-02,5.942565904414854883e-01,3.904616047289644065e-03,-2.317309746482613120e-01
6.300000000000004208e-02,5.940849772636990211e-01,3.788587527989550896e-03,-2.353558881771330435e-01
6.400000000000004297e-02,5.939157635351199893e-01,3.666227565599811111e-03,-2.388750425067882044e-01
6.500000000000004385e-02,5.937491688521543409e-01,3.537707301154324746e-03,-2.422866794838388071e-01
6.600000000000004474e-02,5.935853928891260400e-01,3.403192531608312255e-03,-2.455892642721526076e-01
6.700000000000004563e-02,5.934246179330475712e-01,3.262842260542520023e-03,-2.487814863137002286e-01
6.800000000000004652e-02,5.932670090974114796e-01,3.116805203180361694e-03,-2.518622429821602005e-01
6.900000000000004741e-02,5.931127150267571091e-01,2.965226396728692926e-03,-2.548306170391204106e-01
7.000000000000004829e-02,5.929618737591217936e-01,2.808245299457279298e-03,-2.576858818971572984e-01
7.100000000000004918e-02,5.928146071236219949e-01,2.645993225436349405e-03,-2.604274804732062409e-01
7.200000000000005007e-02,5.926710268404725701e-01,2.478595993822774179e-03,-2.630549519918124468e-01
7.300000000000005096e-02,5.925312217444289598e-01,2.306172174430853872e-03,-2.655680180346871588e-01
7.400000000000005185e-02,5.923952825953255896e-01,2.128836221526320127e-03,-2.679665453969573563e-01
7.500000000000005274e-02,5.922632884008627308e-01,1.946696525159663516e-03,-2.702505280176872304e-01
7.600000000000005362e-02,5.921353081223467152e-01,1.759855772200669133e-03,-2.724200776218045905e-01
7.700000000000005451e-02,5.920114010358749068e-01,1.568411109853562468e-03,-2.744754177601501088e-01
7.800000000000005540e-02,5.918916168541610290e-01,1.372454331626693502e-03,-2.764168794350317926e-01
7.900000000000005629e-02,5.917759962554217656e-01,1.172074171119807939e-03,-2.782448988533327006e-01
8.000000000000005718e-02,5.916645691125408391e-01,9.673531985817107604e-04,-2.799600127259602167e-01
8.100000000000005806e-02,5.915573573729110413e-01,7.583674018373232073e-04,-2.815628548686763821e-01
8.200000000000005895e-02,5.914543759325113781e-01,5.451873462916090318e-04,-2.830541582153315305e-01
8.300000000000005984e-02,5.913556318443496940e-01,3.278824820538983609e-04,-2.844347507065487779e-01
8.400000000000006073e-02,5.912611208434050969e-01,1.065265877571164310e-04,-2.857055369606553707e-01
8.500000000000006162e-02,5.911708276517364524e-01,-1.187969337138050641e-04,-2.868674694203546260e-01
8.600000000000006251e-02,5.910847270709269630e-01,-3.479911391350287708e-04,-2.879215436898900915e-01
8.700000000000006339e-02,5.910027838671059186e-01,-5.809451010613253530e-04,-2.888688007754285358e-01
8.800000000000006428e-02,5.909249530654541172e-01,-8.175349575739732089e-04,-2.897103295563518977e-01
8.900000000000006517e-02,5.908511801340406988e-01,-1.057624607146367968e-03,-2.904472694975894220e-01
9.000000000000006606e-02,5.907814017469504853e-01,-1.301065931628264671e-03,-2.910808151770787888e-01
9.100000000000006695e-02,5.907155447701746276e-01,-1.547700410899022216e-03,-2.916122174002681589e-01
9.200000000000006783e-02,5.906535263716823358e-01,-1.797360070294407031e-03,-2.920427833877832779e-01
