time,x,y,yaw
1.000000000000000021e-03,5.999999984622441662e-01,7.342239749519308134e-06,-1.162314537761013357e-04
2.000000000000000042e-03,5.999999770796252685e-01,2.921826079443912150e-05,-4.613993628983321309e-04
3.000000000000000062e-03,5.999998945267756012e-01,6.523150795606502683e-05,-1.030415623123863292e-03
4.000000000000000083e-03,5.999996805703613489e-01,1.150006886741494760e-04,-1.818450794727218597e-03
5.000000000000000104e-03,5.999992408037385649e-01,1.781330699674454898e-04,-2.820920794263845864e-03
6.000000000000000125e-03,5.999984588582771838e-01,2.542259350780118332e-04,-4.033473117802081551e-03
7.000000000000000146e-03,5.999971985413456999e-01,3.428679633418196815e-04,-5.451972787920527676e-03
8.000000000000000167e-03,5.999953058945811657e-01,4.436405352447603256e-04,-7.072488203526005116e-03
9.000000000000001055e-03,5.999926111673868911e-01,5.561189651439035764e-04,-8.891277054897049961e-03
1.000000000000000194e-02,5.999889307017400863e-01,6.798736628346735422e-04,-1.090477243607011239e-02
1.100000000000000283e-02,5.999840687232154135e-01,8.144712293881029019e-04,-1.310956926712005498e-02
1.200000000000000372e-02,5.999778190329811967e-01,9.594754965151497395e-04,-1.550241113253208319e-02
1.300000000000000461e-02,5.999699665919998592e-01,1.114448527164357827e-03,-1.808017758319465859e-02
1.400000000000000550e-02,5.999602889818811402e-01,1.278951607328271400e-03,-2.083987189092658884e-02
1.500000000000000638e-02,5.999485577136332015e-01,1.452546285652445146e-03,-2.377860915407970649e-02
1.600000000000000727e-02,5.999345396451478685e-01,1.634795030350577605e-03,-2.689360572533130989e-02
1.700000000000000816e-02,5.999179982868466654e-01,1.825261859946802900e-03,-3.018217050352202391e-02
1.800000000000000905e-02,5.998986950180401623e-01,2.023512921381698249e-03,-3.364169507522735830e-02
1.900000000000000994e-02,5.998763899830299451e-01,2.229117418372172921e-03,-3.726964495046811154e-02
2.000000000000001082e-02,5.998508430769455835e-01,2.441648215182945503e-03,-4.106355171025895257e-02
2.100000000000001171e-02,5.998218148312958187e-01,2.660682438366923641e-03,-4.502100584830040497e-02
2.200000000000001260e-02,5.997890672275095758e-01,2.885802042141227819e-03,-4.913965028318963146e-02
2.300000000000001349e-02,5.997523644386186792e-01,3.116594339047817908e-03,-5.341717451161540064e-02
2.400000000000001438e-02,5.997114734903699063e-01,3.352652497035091272e-03,-5.785130936397777507e-02
2.500000000000001527e-02,5.996661648625717378e-01,3.593576005019749608e-03,-6.243982233298931567e-02
2.600000000000001615e-02,5.996162130347432173e-01,3.838971108230615492e-03,-6.718051343658644481e-02
2.700000000000001704e-02,5.995614034739593645e-01,4.088450706752844166e-03,-7.207086338866830477e-02
2.800000000000001793e-02,5.995015361226311290e-01,4.341637514933993636e-03,-7.710778983938455788e-02
2.900000000000001882e-02,5.994364255570493460e-01,4.598164822949724062e-03,-8.228813857848094049e-02
3.000000000000001971e-02,5.993658978596914100e-01,4.857678902381978858e-03,-8.760876058332786598e-02
3.100000000000002059e-02,5.992897915201231829e-01,5.119838942161780704e-03,-9.306651332846165026e-02
3.200000000000002148e-02,5.992079576904845162e-01,5.384317398864135740e-03,-9.865826254576093302e-02
3.300000000000002237e-02,5.991202603443943620e-01,5.650800275012801688e-03,-1.043808843576874701e-01
3.400000000000002326e-02,5.990265763465466575e-01,5.918987328090208333e-03,-1.102312677108051864e-01
3.500000000000002415e-02,5.989267954402260896e-01,6.188592213164145761e-03,-1.162063170420957331e-01
3.600000000000002504e-02,5.988208201598720359e-01,6.459342562231296103e-03,-1.223029551162077150e-01
3.700000000000002592e-02,5.987085656756672147e-01,6.730980003543662882e-03,-1.285181259775398377e-01
3.800000000000002681e-02,5.985899595769326176e-01,7.003260124317567392e-03,-1.348487979668235581e-01
3.900000000000002770e-02,5.984649416008863687e-01,7.275952380336125902e-03,-1.412919667575272542e-01
4.000000000000002859e-02,5.983334633130690250e-01,7.548839956037445287e-03,-1.478446583728622588e-01
4.100000000000002948e-02,5.981954877454628283e-01,7.821719578734787071e-03,-1.545039321493680562e-01
4.200000000000003036e-02,5.980510149644354678e-01,8.094318805854872068e-03,-1.612657074957862813e-01
4.300000000000003125e-02,5.979000826905592758e-01,8.366319270638467032e-03,-1.681241773411059626e-01
4.400000000000003214e-02,5.977427630740844711e-01,8.637370224440388267e-03,-1.750734027602268983e-01
4.500000000000003303e-02,5.975791451855051450e-01,8.907157078956784435e-03,-1.821075151201732578e-01
4.600000000000003392e-02,5.974093388364519752e-01,9.175391327921333939e-03,-1.892206840365716347e-01
4.700000000000003481e-02,5.972334733945184881e-01,9.441810407834594354e-03,-1.964071492051854273e-01
4.800000000000003569e-02,5.970516960242672200e-01,9.706177013204975168e-03,-2.036612471468388363e-01
4.900000000000003658e-02,5.968641701623527140e-01,9.968278019858556327e-03,-2.109774202227091555e-01
5.000000000000003747e-02,5.966710741434438914e-01,1.022792356939572489e-02,-2.183502250738317552e-01
5.100000000000003836e-02,5.964726063336137640e-01,1.048485674665355916e-02,-2.257737235611666782e-01
5.200000000000003925e-02,5.962689939202834299e-01,1.073866246906296507e-02,-2.332392951212217957e-01
5.300000000000004013e-02,5.960604910223208375e-01,1.098877976735623818e-02,-2.407375317452296326e-01
5.400000000000004102e-02,5.958473646643080990e-01,1.123470162992218357e-02,-2.482592358517380360e-01
5.500000000000004191e-02,5.956298937127897375e-01,1.147595506721338365e-02,-2.557954332839027511e-01
5.600000000000004280e-02,5.954083671926221344e-01,1.171209712878001907e-02,-2.633373852658302261e-01
5.700000000000004369e-02,5.951830824418917754e-01,1.194271389323220411e-02,-2.708765993191634691e-01
5.800000000000004458e-02,5.949543433031296846e-01,1.216741942644194996e-02,-2.784048391462659588e-01
5.900000000000004546e-02,5.947225202604436989e-01,1.238582116285624757e-02,-2.859129772508284262e-01
6.000000000000004635e-02,5.944880297951334880e-01,1.259753886630071706e-02,-2.933908563477820031e-01
6.100000000000004724e-02,5.942513255862225119e-01,1.280220788094571516e-02,-3.008285738650033903e-01
6.200000000000004813e-02,5.940128625410830976e-01,1.299949943382783246e-02,-3.082165483128363470e-01
6.300000000000004208e-02,5.937731015820049141e-01,1.318911348279339091e-02,-3.155455295053817832e-01
6.400000000000004297e-02,5.935325070412470483e-01,1.337077693445676285e-02,-3.228066075370357169e-01
6.500000000000004385e-02,5.932915441318139527e-01,1.354424189185421401e-02,-3.299912205526394637e-01
6.600000000000004474e-02,5.930506765053948914e-01,1.370928394499726366e-02,-3.370911613515196192e-01
6.700000000000004563e-02,5.928103639056837570e-01,1.386570052657898344e-02,-3.440985828114520584e-01
6.800000000000004652e-02,5.925710599260636258e-01,1.401330932111466421e-02,-3.510060022479017938e-01
6.900000000000004741e-02,5.923332098775782040e-01,1.415194673438335826e-02,-3.578063048580172878e-01
7.000000000000004829e-02,5.920972487720537192e-01,1.428146641934702199e-02,-3.644927462363520276e-01
7.100000000000004918e-02,5.918635994223344632e-01,1.440173787567411434e-02,-3.710589540086070004e-01
7.200000000000005007e-02,5.916326706621806153e-01,1.451264512193894962e-02,-3.774989286368196639e-01
7.300000000000005096e-02,5.914048556884897723e-01,1.461408544100878393e-02,-3.838070434440648548e-01
7.400000000000005185e-02,5.911805305307656910e-01,1.470596819842923120e-02,-3.899780438995383292e-01
7.500000000000005274e-02,5.909600526595216730e-01,1.478821373376992820e-02,-3.960070461992155066e-01
7.600000000000005362e-02,5.907437597632833048e-01,1.486075232773725885e-02,-4.018895351888800427e-01
7.700000000000005451e-02,5.905319687736229062e-01,1.492352326009188657e-02,-4.076213617707476478e-01
7.800000000000005540e-02,5.903249753242967302e-01,1.497647372278765321e-02,-4.131987369169589641e-01
7.900000000000005629e-02,5.901230544342996875e-01,1.501955872823096394e-02,-4.186182284720704194e-01
8.000000000000005718e-02,5.899264542728366312e-01,1.505273933915063367e-02,-4.238767737565117821e-01
8.100000000000005806e-02,5.897353988492438637e-01,1.507598226961109900e-02,-4.289716452297011595e-01
8.200000000000005895e-02,5.895500846469374778e-01,1.508925866913607416e-02,-4.339004532576280493e-01
8.300000000000005984e-02,5.893706855961545754e-01,1.509254452196429064e-02,-4.386611503369086118e-01
8.400000000000006073e-02,5.891973481613322905e-01,1.508581990876384227e-02,-4.432520084928506798e-01
8.500000000000006162e-02,5.890301945168076037e-01,1.506906894920301276e-02,-4.476715968846676774e-01
8.600000000000006251e-02,5.888693301534770885e-01,1.504228156327053201e-02,-4.519187644867537768e-01
8.700000000000006339e-02,5.887148418468153288e-01,1.500545285877774582e-02,-4.559925967549526282e-01
8.800000000000006428e-02,5.885667974329303886e-01,1.495858289305540545e-02,-4.598924269529939823e-01
8.900000000000006517e-02,5.884252551099189432e-01,1.490167869172159820e-02,-4.636178080116579725e-01
9.000000000000006606e-02,5.882902571327227603e-01,1.483475280096679949e-02,-4.671684897798183966e-01
9.100000000000006695e-02,5.881618309916661902e-01,1.475782376804252172e-02,-4.705444070557214253e-01
9.200000000000006783e-02,5.880399900883731545e-01,1.467091715699342380e-02,-4.737456705880189189e-01
9.300000000000006872e-02,5.879247334705355321e-01,1.457406669565036728e-02,-4.767725587111084073e-01
9.400000000000006961e-02,5.878160456079514207e-01,1.446731117781241416e-02,-4.796255153067662813e-01
9.500000000000007050e-02,5.877138987891814548e-01,1.435069918231146602e-02,-4.823051356303500459e-01
9.600000000000007139e-02,5.876182507309447578e-01,1.422429765200633467e-02,-4.848121335897433992e-01
9.700000000000007228e-02,5.875290432385258388e-01,1.408819695978202891e-02,-4.871473335199112409e-01
9.800000000000007316e-02,5.874462024905272584e-01,1.394250805239349855e-02,-4.893116749359082140e-01
9.900000000000007405e-02,5.873696419347831377e-01,1.378736107036493408e-02,-4.913062122619082372e-01
1.000000000000000749e-01,5.872992612018025360e-01,1.362290652241260336e-02,-4.931321146698717239e-01
1.010000000000000758e-01,5.872349469548221457e-01,1.344931462211657047e-02,-4.947906662048182636e-01
1.020000000000000767e-01,5.871765730381011128e-01,1.326677516037239046e-02,-4.962832704045435639e-01
1.030000000000000776e-01,5.871240012211130788e-01,1.307549829387089080e-02,-4.976114526199548194e-01
1.040000000000000785e-01,5.870770816291561722e-01,1.287571396986031402e-02,-4.987768624983038301e-01
1.050000000000000794e-01,5.870356533185234760e-01,1.266767063464913079e-02,-4.997812774043846051e-01
1.060000000000000803e-01,5.869995456213422669e-01,1.245163367009405331e-02,-5.006266044888280087e-01
1.070000000000000812e-01,5.869685785119586052e-01,1.222788442491173910e-02,-5.013148831600547917e-01
1.080000000000000820e-01,5.869425631282897404e-01,1.199671869079921294e-02,-5.018482866875968451e-01
1.090000000000000829e-01,5.869213024358511666e-01,1.175844531363234857e-02,-5.022291228269573082e-01
1.100000000000000838e-01,5.869045922317457364e-01,1.151338501755494459e-02,-5.024598356220657536e-01
1.110000000000000847e-01,5.868922217635150762e-01,1.126186970633813456e-02,-5.025430077610865132e-01
1.120000000000000856e-01,5.868839740289064633e-01,1.100424166217461863e-02,-5.024813602632361986e-01
1.130000000000000865e-01,5.868796263608203612e-01,1.074085153669357418e-02,-5.022777560650554252e-01
1.140000000000000874e-01,5.868789518341877010e-01,1.047205653239657863e-02,-5.019352041332800773e-01
1.150000000000000883e-01,5.868817209098000642e-01,1.019821861263398022e-02,-5.014568566617526590e-01
1.160000000000000892e-01,5.868877016967501969e-01,9.919703637306098720e-03,-5.008460047164288165e-01
1.170000000000000900e-01,5.868966609762595876e-01,9.636880128685021418e-03,-5.001060732702344858e-01
1.180000000000000909e-01,5.869083651191510098e-01,9.350118138751473129e-03,-4.992406156188793354e-01
1.190000000000000918e-01,5.869225809786747794e-01,9.059788176945304805e-03,-4.982533072255127538e-01
1.200000000000000927e-01,5.869390767520250574e-01,8.766260200541831082e-03,-4.971479390468053206e-01
1.210000000000000936e-01,5.869576228044095512e-01,8.469902667701090238e-03,-4.959284104020060258e-01
1.220000000000000945e-01,5.869779924498430557e-01,8.171081643666366912e-03,-4.945987215147714666e-01
1.230000000000000954e-01,5.869999626839095264e-01,7.870159974359691724e-03,-4.931629657232661779e-01
1.240000000000000963e-01,5.870233148637616916e-01,7.567496525515415851e-03,-4.916253213069453620e-01
1.250000000000000833e-01,5.870478353313219877e-01,7.263445492701137152e-03,-4.899900430670948714e-01
1.260000000000000842e-01,5.870733159755193720e-01,6.958355768558632803e-03,-4.882614537263139654e-01
1.270000000000000850e-01,5.870995547301154360e-01,6.652570366360077703e-03,-4.864439351945517576e-01
1.280000000000000859e-01,5.871263560040014262e-01,6.346425896382790199e-03,-4.845419197436520720e-01
1.290000000000000868e-01,5.871535310411420960e-01,6.040252090886211178e-03,-4.825598811258857146e-01
1.300000000000000877e-01,5.871808982073600802e-01,5.734371372762447905e-03,-4.805023256647439345e-01
1.310000000000000886e-01,5.872082832005931508e-01,5.429098462193415742e-03,-4.783737833382115667e-01
1.320000000000000895e-01,5.872355191800276986e-01,5.124740014883832906e-03,-4.761787988657792403e-01
1.330000000000000904e-01,5.872624468090186234e-01,4.821594284983965473e-03,-4.739219228031838482e-01
