time,x,y,yaw
1.000000000000000021e-03,5.999999990203012112e-01,-7.330097634428156539e-06,1.112736860370858535e-04
2.000000000000000042e-03,5.999999843863191851e-01,-2.917450966333223761e-05,4.417255624131996876e-04
3.000000000000000062e-03,5.999999278116389112e-01,-6.514931147305613734e-05,9.864759803524547101e-04
4.000000000000000083e-03,5.999997810577244461e-01,-1.148978438503256427e-04,1.740834693786677545e-03
5.000000000000000104e-03,5.999994792098478635e-01,-1.780618084172291837e-04,2.700292218064276675e-03
6.000000000000000125e-03,5.999989421769742481e-01,-2.542818261352941533e-04,3.860510904193757351e-03
7.000000000000000146e-03,5.999980761563907805e-01,-3.431979650772576385e-04,5.217315840095810772e-03
8.000000000000000167e-03,5.999967750560423196e-01,-4.444502388923909919e-04,6.766685683441565208e-03
9.000000000000001055e-03,5.999949218672492313e-01,-5.576790775747020312e-04,8.504743522950889562e-03
1.000000000000000194e-02,5.999923899794585846e-01,-6.825257693322539509e-04,1.042774786431444403e-02
1.100000000000000283e-02,5.999890444622164587e-01,-8.186328737064263450e-04,1.253208383012683128e-02
1.200000000000000372e-02,5.999847432874108044e-01,-9.656446192737311307e-04,1.481425460198902005e-02
1.300000000000000461e-02,5.999793384826560549e-01,-1.123207277925808434e-03,1.727087318497919077e-02
1.400000000000000550e-02,5.999726772065373526e-01,-1.290969517415696544e-03,1.989865456967568336e-02
1.500000000000000638e-02,5.999646027721969865e-01,-1.468582731241729888e-03,2.269440830849618618e-02
1.600000000000000727e-02,5.999549556077978796e-01,-1.655701354854821616e-03,2.565503152660386643e-02
1.700000000000000816e-02,5.999435741500911412e-01,-1.851983173983107189e-03,2.877750237147225568e-02
1.800000000000000905e-02,5.999302956690415467e-01,-2.057089637193754150e-03,3.205887388002565813e-02
1.900000000000000994e-02,5.999149570188730962e-01,-2.270686193964588373e-03,3.549626820762653845e-02
2.000000000000001082e-02,5.998973953069068887e-01,-2.492442693743268656e-03,3.908687111425480226e-02
2.100000000000001171e-02,5.998774484652852346e-01,-2.722033902731568755e-03,4.282792653416702539e-02
2.200000000000001260e-02,5.998549558667642945e-01,-2.959139579621961058e-03,4.671673230033850793e-02
2.300000000000001349e-02,5.998297589960264187e-01,-3.203444146494760503e-03,5.075063962766226261e-02
2.400000000000001438e-02,5.998017019967637475e-01,-3.454636631437746352e-03,5.492704863114127728e-02
2.500000000000001527e-02,5.997706319855687918e-01,-3.712411437824303384e-03,5.924340471789359130e-02
2.600000000000001615e-02,5.997363993506247271e-01,-3.976468438363689462e-03,6.369719601636894546e-02
2.700000000000001704e-02,5.996988581240484395e-01,-4.246513119255390656e-03,6.828595100599435530e-02
2.800000000000001793e-02,5.996578662470155585e-01,-4.522256715143835315e-03,7.300723659074330463e-02
2.900000000000001882e-02,5.996132859048451946e-01,-4.803416344406286065e-03,7.785865649399485722e-02
3.000000000000001971e-02,5.995649837176437735e-01,-5.089715127948035711e-03,8.283784989613719729e-02
3.100000000000002059e-02,5.995128309319426307e-01,-5.380882294145128419e-03,8.794249031338141620e-02
3.200000000000002148e-02,5.994567035879421191e-01,-5.676653271591225458e-03,9.317028468962587628e-02
3.300000000000002237e-02,5.993964826659129441e-01,-5.976769768752165923e-03,9.851897267364150002e-02
3.400000000000002326e-02,5.993320542165933018e-01,-6.280979840081968302e-03,1.039863260554029500e-01
3.500000000000002415e-02,5.992633094805377425e-01,-6.589037938152297880e-03,1.095701483368216600e-01
3.600000000000002504e-02,5.991901450014394115e-01,-6.900704951311009694e-03,1.152682744135780091e-01
3.700000000000002592e-02,5.991124627383861423e-01,-7.215748226350571226e-03,1.210785703462738533e-01
3.800000000000002681e-02,5.990301697861517560e-01,-7.533941678485589488e-03,1.269989336667950441e-01
3.900000000000002770e-02,5.989431783150688249e-01,-7.855065822646445373e-03,1.330272939153641643e-01
4.000000000000002859e-02,5.988514054387901187e-01,-8.178907810066693429e-03,1.391616122765767516e-01
4.100000000000002948e-02,5.987547734674579791e-01,-8.505261350278014998e-03,1.453998816194650989e-01
4.200000000000003036e-02,5.986532231965042694e-01,-8.833911823961648757e-03,1.517397519183272259e-01
4.300000000000003125e-02,5.985467178584632508e-01,-9.164639622786463491e-03,1.581779101868971693e-01
4.400000000000003214e-02,5.984352473640426329e-01,-9.497215113432211364e-03,1.647108660267893876e-01
4.500000000000003303e-02,5.983188100069798399e-01,-9.831423908863989869e-03,1.713351647308322678e-01
4.600000000000003392e-02,5.981974152169448056e-01,-1.016706208701240177e-02,1.780473915425764275e-01
4.700000000000003481e-02,5.980710832312340353e-01,-1.050393611364869306e-02,1.848441758039656990e-01
4.800000000000003569e-02,5.979398446929092836e-01,-1.084186276721138542e-02,1.917221949664958958e-01
4.900000000000003658e-02,5.978037402094190655e-01,-1.118066902841724497e-02,1.986781784442816223e-01
5.000000000000003747e-02,5.976628198766771316e-01,-1.152019193719566736e-02,2.057089112906325679e-01
5.100000000000003836e-02,5.975171427734370377e-01,-1.186027841956183160e-02,2.128112376827483443e-01
5.200000000000003925e-02,5.973667764306627159e-01,-1.220078508708438703e-02,2.199820642019584549e-01
5.300000000000004013e-02,5.972117962804268654e-01,-1.254157801162691932e-02,2.272183628995526339e-01
5.400000000000004102e-02,5.970522850886892385e-01,-1.288253247803222701e-02,2.345171741406594790e-01
5.500000000000004191e-02,5.968883323761168258e-01,-1.322353271739429292e-02,2.418756092208393382e-01
5.600000000000004280e-02,5.967200338309013308e-01,-1.356447162351004376e-02,2.492908527520620587e-01
5.700000000000004369e-02,5.965474907173170527e-01,-1.390525045503798740e-02,2.567601648165481754e-01
5.800000000000004458e-02,5.963708092835425800e-01,-1.424577852580533044e-02,2.642808828885694905e-01
5.900000000000004546e-02,5.961901001720413262e-01,-1.458597288560675720e-02,2.718504235257430124e-01
6.000000000000004635e-02,5.960055033669453550e-01,-1.492570970333423341e-02,2.794657145780218843e-01
6.100000000000004724e-02,5.958172005137728489e-01,-1.526481302789201022e-02,2.871219210872970606e-01
6.200000000000004813e-02,5.956254175639338344e-01,-1.560304940103424132e-02,2.948138529272597563e-01
6.300000000000004208e-02,5.954303841262628127e-01,-1.594021132167011690e-02,3.025364411872095149e-01
6.400000000000004297e-02,5.952323370954455406e-01,-1.627610565309239865e-02,3.102847441542204154e-01
6.500000000000004385e-02,5.950315200709886954e-01,-1.661055202017330812e-02,3.180539528032795271e-01
6.600000000000004474e-02,5.948281822041012745e-01,-1.694338238117937268e-02,3.258393957976836730e-01
6.700000000000004563e-02,5.946225770523522192e-01,-1.727444058608740285e-02,3.336365440022509565e-01
6.800000000000004652e-02,5.944149614489325772e-01,-1.760358192606442662e-02,3.414410145146056230e-01
