time,x,y,yaw
1.000000000000000021e-03,5.999999974492705723e-01,-7.143568544198952708e-06,1.252198838722359895e-04
2.000000000000000042e-03,5.999999634677309901e-01,-2.842087381599300855e-05,4.971680577934134817e-04
3.000000000000000062e-03,5.999998323023295610e-01,-6.342768802303222486e-05,1.110555409140199633e-03
4.000000000000000083e-03,5.999994926030021158e-01,-1.117512340780835167e-04,1.960445510783087163e-03
5.000000000000000104e-03,5.999987951072350834e-01,-1.729490566713676181e-04,3.042230558743958153e-03
6.000000000000000125e-03,5.999975564740596123e-01,-2.465524993335299619e-04,4.351605778995088630e-03
7.000000000000000146e-03,5.999955630281275099e-01,-3.320700696227696369e-04,5.884542892394921398e-03
8.000000000000000167e-03,5.999925743885785590e-01,-4.289906889456962524e-04,7.637263170929082558e-03
9.000000000000001055e-03,5.999883269393607721e-01,-5.367868370233508379e-04,9.606210536565644789e-03
1.000000000000000194e-02,5.999825373318465882e-01,-6.549174806392277226e-04,1.178802536959904987e-02
1.100000000000000283e-02,5.999749056736324304e-01,-7.828309158431356884e-04,1.417951932408578232e-02
1.200000000000000372e-02,5.999651186567633854e-01,-9.199674138082869490e-04,1.677765119936293348e-02
1.300000000000000461e-02,5.999528523803225877e-01,-1.065761778320906128e-03,1.957950438991533024e-02
1.400000000000000550e-02,5.999377750702845624e-01,-1.219645717152328945e-03,2.258226601319337709e-02
1.500000000000000638e-02,5.999195495991185290e-01,-1.381050069617417719e-03,2.578320783508284211e-02
1.600000000000000727e-02,5.998978358168449709e-01,-1.549406886072690614e-03,2.917966905847030334e-02
1.700000000000000816e-02,5.998722926938387934e-01,-1.724151361771397717e-03,3.276904099276881782e-02
1.800000000000000905e-02,5.998425802775245730e-01,-1.904723628100235544e-03,3.654875358178622663e-02
1.900000000000000994e-02,5.998083614667454322e-01,-2.090570404692404516e-03,4.051626373398994202e-02
2.000000000000001082e-02,5.997693036090079310e-01,-2.281146516269316749e-03,4.466904537281556065e-02
2.100000000000001171e-02,5.997250799269999710e-01,-2.475916278325163145e-03,4.900458110473258910e-02
2.200000000000001260e-02,5.996753707817648049e-01,-2.674354755959951202e-03,5.352035538872056131e-02
2.300000000000001349e-02,5.996198647806900706e-01,-2.875948900296021460e-03,5.821384908193043967e-02
2.400000000000001438e-02,5.995582597390515245e-01,-3.080198567000758114e-03,6.308253523187697109e-02
2.500000000000001527e-02,5.994902635042538286e-01,-3.286617421487003643e-03,6.812387598479105466e-02
2.600000000000001615e-02,5.994155946521403378e-01,-3.494733735389221607e-03,7.333532048205029796e-02
2.700000000000001704e-02,5.993339830648324318e-01,-3.704091078917226554e-03,7.871430362124381963e-02
2.800000000000001793e-02,5.992451703995105294e-01,-3.914248913680418163e-03,8.425824556482133798e-02
2.900000000000001882e-02,5.991489110023915377e-01,-4.124784163633765655e-03,8.996453964327547070e-02
3.000000000000001971e-02,5.990449737957488363e-01,-4.335296373413843884e-03,9.583051377273452132e-02
3.100000000000002059e-02,5.989331454772151009e-01,-4.545410446340159005e-03,1.018533879296652372e-01
3.200000000000002148e-02,5.988132346614781776e-01,-4.754782396733991945e-03,1.080301103976535199e-01
3.300000000000002237e-02,5.986850719696013012e-01,-4.963098853226877161e-03,1.143575365104241848e-01
3.400000000000002326e-02,5.985485061259637751e-01,-5.170074923919798504e-03,1.208324900980844163e-01
3.500000000000002415e-02,5.984034038824002089e-01,-5.375453961715681572e-03,1.274517692771048039e-01
3.600000000000002504e-02,5.982496494410879384e-01,-5.579007071043307064e-03,1.342121524210404260e-01
3.700000000000002592e-02,5.980871438003196872e-01,-5.780532467519250428e-03,1.411104042044077633e-01
3.800000000000002681e-02,5.979158040387682060e-01,-5.979854708624332549e-03,1.481432816272170994e-01
3.900000000000002770e-02,5.977355625524415350e-01,-6.176823814250997913e-03,1.553075399337407458e-01
4.000000000000002859e-02,5.975463662573604617e-01,-6.371314290266549829e-03,1.625999383775415530e-01
4.100000000000002948e-02,5.973481757695990879e-01,-6.563224070744777539e-03,1.700172457930623215e-01
4.200000000000003036e-02,5.971409645729849336e-01,-6.752473393057401019e-03,1.775562459235335844e-01
4.300000000000003125e-02,5.969247181834270721e-01,-6.939003621687422907e-03,1.852137424747134775e-01
4.400000000000003214e-02,5.966994333176895982e-01,-7.122776033314903721e-03,1.929865638733537225e-01
4.500000000000003303e-02,5.964651170732929719e-01,-7.303770575138313070e-03,2.008715677163830093e-01
4.600000000000003392e-02,5.962217861251838391e-01,-7.481984607411451549e-03,2.088656449028010731e-01
4.700000000000003481e-02,5.959694659438546926e-01,-7.657431640195333511e-03,2.169657234452883332e-01
4.800000000000003569e-02,5.957081900387276585e-01,-7.830140073354530106e-03,2.251687719626683792e-01
4.900000000000003658e-02,5.954379992298337587e-01,-8.000151947886058323e-03,2.334718028577163484e-01
